"dgp","dgp_label","family","p","mechanism","n","method","reps","n_valid","failures","truth","mean_estimate","bias","sd_estimate","mc_se_bias","mse","mean_se","coverage95","mean_z","sd_z","mean_ci_length","mean_elapsed_ms","median_elapsed_ms","mean_observed_fraction","mean_complete_rows","min_pair_count_min","mean_em_iter","mechanism_order","method_order","dgp_order"
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,"pairwise",200,200,0,0.707836900907317,0.699533664116137,-0.00830323679117982,0.0620939429921226,0.00439070481603408,0.00390532320873782,0.0537592454380246,0.93,0.0594489251251409,1.09688618618921,0.210732369789155,0.135000000000012,0,0.750408333333333,17.08,33,NA,1,1,1
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,"cat_fiml",200,200,0,0.707836900907317,0.672758152300332,-0.0350787486069853,0.0589542542310154,0.00416869529465467,0.00468874467530759,0.061319370803535,0.95,-0.396878677882792,0.939122929481571,0.240367516659171,3.41999999999997,3.00000000000011,0.750408333333333,17.08,33,NA,1,2,1
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,"normal_fiml",200,200,0,0.707836900907317,0.702508677810733,-0.00532822309658365,0.0587886229806186,0.00415698339662147,0.0034672116423645,0.0512923595424175,0.92,0.127740842975303,1.11203377312021,0.201062354770435,142.755,139,0.750408333333333,17.08,33,51.29,1,3,1
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,"listwise",200,200,0,0.707836900907317,0.673118682683759,-0.0347182182235578,0.155751909957476,0.0110133231713688,0.0253427188447432,0.114381632220013,0.9,0.199624725705227,1.23773918613631,0.448367759288264,0.134999999999964,0,0.750408333333333,17.08,33,NA,1,4,1
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mar_linear30",100,"pairwise",200,200,0,0.707836900907317,0.672914299667511,-0.034922601239806,0.0638822022048068,0.00451715383761491,0.00528011915709765,0.0560471393149563,0.905,-0.41451384665291,1.08301789180815,0.219700748987627,0.169999999999888,0,0.747133333333333,31.795,38,NA,2,1,1
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mar_linear30",100,"cat_fiml",200,200,0,0.707836900907317,0.6466428603718,-0.061194040535517,0.0828571060139058,0.00585888215319254,0.0105756841139771,0.0745805479105305,0.91,-0.611760630866715,1.00523104832201,0.292350375703807,4.03999999999993,3.00000000000011,0.747133333333333,31.795,38,NA,2,2,1
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mar_linear30",100,"normal_fiml",200,200,0,0.707836900907317,0.697242305388932,-0.0105945955183848,0.0617492350753409,0.00436633028548558,0.00390614864642594,0.0564209385631374,0.935,0.065228646744724,1.14059960281037,0.221166015115393,147.085,145,0.747133333333333,31.795,38,50.175,2,3,1
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mar_linear30",100,"listwise",200,200,0,0.707836900907317,0.668494985723796,-0.0393419151835207,0.101801348115788,0.00719844235866063,0.0118594831961083,0.0849917935588339,0.93,-0.136744859332619,1.21036388417886,0.333161708713556,0.104999999999951,0,0.747133333333333,31.795,38,NA,2,4,1
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mar_lowgate45",100,"pairwise",200,200,0,0.707836900907317,0.65587181919772,-0.0519650817095963,0.0715456100553484,0.00505903860342653,0.00779355016368604,0.0646584612772034,0.92,-0.615143329577208,0.979454354751351,0.253456510798193,0.134999999999721,0,0.624858333333333,10.615,22,NA,3,1,1
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mar_lowgate45",100,"cat_fiml",200,200,0,0.707836900907317,0.612370229586823,-0.0954666713204935,0.100647193398112,0.00711683129591988,0.0191930935842375,0.0886082902572024,0.86,-0.907957598245994,1.06196288635262,0.347338115271576,4.44500000000019,3.00000000000011,0.624858333333333,10.615,22,NA,3,2,1
