"target","R","n","coefficient","method","source","reps","valid_reps","coverage","miss_below","miss_above","mean_length","median_length","mean_estimate","bias","mean_se_if_n","mean_se_if_unbiased","mean_se_delta2_var","mean_bias_delta2","mean_variance_ratio_unbiased","mean_variance_ratio_delta2"
0.5,2,10,"Conger","arcsine_delta2_center_var","Moss 2024 arcsine scale; second-order delta variance and bias",500,500,0.876,0.036,0.088,1.05530827030326,1.10685962999352,0.4643645463978,-0.0356354536022002,0.235036595313863,0.247750324894355,0.258218494380304,0.000218411284680047,1.11111111111111,1.20845148012649
0.5,2,10,"Conger","arcsine_delta2_var","Moss 2024 arcsine scale; second-order delta variance",500,500,0.878,0.034,0.088,1.05612003694807,1.107076960497,0.4643645463978,-0.0356354536022002,0.235036595313863,0.247750324894355,0.258218494380304,0.000218411284680047,1.11111111111111,1.20845148012649
0.5,2,10,"Conger","arcsine_if_n","Moss 2024 arcsine scale; plug-in IF covariance",500,500,0.862,0.042,0.096,0.9787652943211,1.02206175090469,0.4643645463978,-0.0356354536022002,0.235036595313863,0.247750324894355,0.258218494380304,0.000218411284680047,1.11111111111111,1.20845148012649
0.5,2,10,"Conger","arcsine_if_unbiased","Moss 2024 arcsine scale; n-1 IF covariance",500,500,0.868,0.038,0.094,1.02210833840951,1.06859985416127,0.4643645463978,-0.0356354536022002,0.235036595313863,0.247750324894355,0.258218494380304,0.000218411284680047,1.11111111111111,1.20845148012649
0.5,2,10,"Conger","basic_delta2_center_var","identity scale; second-order delta variance and bias",500,500,0.852,0.032,0.116,1.16826163325874,1.19156436243867,0.4643645463978,-0.0356354536022002,0.235036595313863,0.247750324894355,0.258218494380304,0.000218411284680047,1.11111111111111,1.20845148012649
0.5,2,10,"Conger","basic_delta2_var","identity scale; second-order delta variance",500,500,0.86,0.028,0.112,1.16826163325874,1.19156436243867,0.4643645463978,-0.0356354536022002,0.235036595313863,0.247750324894355,0.258218494380304,0.000218411284680047,1.11111111111111,1.20845148012649
0.5,2,10,"Conger","basic_if_n","identity scale; plug-in IF covariance",500,500,0.836,0.042,0.122,1.06337943521791,1.10079398832678,0.4643645463978,-0.0356354536022002,0.235036595313863,0.247750324894355,0.258218494380304,0.000218411284680047,1.11111111111111,1.20845148012649
0.5,2,10,"Conger","basic_if_unbiased","identity scale; n-1 IF covariance",500,500,0.85,0.032,0.118,1.12090034409069,1.16033874591114,0.4643645463978,-0.0356354536022002,0.235036595313863,0.247750324894355,0.258218494380304,0.000218411284680047,1.11111111111111,1.20845148012649
0.5,2,10,"Conger","fisher_delta2_center_var","Moss 2024 Fisher scale; second-order delta variance and bias",500,500,0.912,0.04,0.048,1.09295806207261,1.14432556370268,0.4643645463978,-0.0356354536022002,0.235036595313863,0.247750324894355,0.258218494380304,0.000218411284680047,1.11111111111111,1.20845148012649
0.5,2,10,"Conger","fisher_delta2_var","Moss 2024 Fisher scale; second-order delta variance",500,500,0.912,0.036,0.052,1.08303049172695,1.13747098334429,0.4643645463978,-0.0356354536022002,0.235036595313863,0.247750324894355,0.258218494380304,0.000218411284680047,1.11111111111111,1.20845148012649
0.5,2,10,"Conger","fisher_if_n","Moss 2024 Fisher scale; plug-in IF covariance",500,500,0.888,0.046,0.066,0.99984691042122,1.05507629353578,0.4643645463978,-0.0356354536022002,0.235036595313863,0.247750324894355,0.258218494380304,0.000218411284680047,1.11111111111111,1.20845148012649
0.5,2,10,"Conger","fisher_if_unbiased","Moss 2024 Fisher scale; n-1 IF covariance",500,500,0.904,0.038,0.058,1.04597205225348,1.10377714917862,0.4643645463978,-0.0356354536022002,0.235036595313863,0.247750324894355,0.258218494380304,0.000218411284680047,1.11111111111111,1.20845148012649
0.5,2,20,"Conger","arcsine_delta2_center_var","Moss 2024 arcsine scale; second-order delta variance and bias",500,500,0.918,0.022,0.06,0.796345272444431,0.825560208279421,0.4761005061497,-0.0238994938503004,0.190507913162804,0.195456994805956,0.198792281604973,-0.00247851128655334,1.05263157894737,1.08873583553853
0.5,2,20,"Conger","arcsine_delta2_var","Moss 2024 arcsine scale; second-order delta variance",500,500,0.918,0.022,0.06,0.796492938473311,0.825698186077167,0.4761005061497,-0.0238994938503004,0.190507913162804,0.195456994805956,0.198792281604973,-0.00247851128655334,1.05263157894737,1.08873583553853
0.5,2,20,"Conger","arcsine_if_n","Moss 2024 arcsine scale; plug-in IF covariance",500,500,0.914,0.024,0.062,0.766108888288371,0.792260459072293,0.4761005061497,-0.0238994938503004,0.190507913162804,0.195456994805956,0.198792281604973,-0.00247851128655334,1.05263157894737,1.08873583553853
0.5,2,20,"Conger","arcsine_if_unbiased","Moss 2024 arcsine scale; n-1 IF covariance",500,500,0.918,0.022,0.06,0.784340267408273,0.810596403040467,0.4761005061497,-0.0238994938503004,0.190507913162804,0.195456994805956,0.198792281604973,-0.00247851128655334,1.05263157894737,1.08873583553853
0.5,2,20,"Conger","basic_delta2_center_var","identity scale; second-order delta variance and bias",500,500,0.888,0.022,0.09,0.832154054459837,0.859113652838075,0.4761005061497,-0.0238994938503004,0.190507913162804,0.195456994805956,0.198792281604973,-0.00247851128655334,1.05263157894737,1.08873583553853
0.5,2,20,"Conger","basic_delta2_var","identity scale; second-order delta variance",500,500,0.894,0.022,0.084,0.832154054459837,0.859113652838075,0.4761005061497,-0.0238994938503004,0.190507913162804,0.195456994805956,0.198792281604973,-0.00247851128655334,1.05263157894737,1.08873583553853
0.5,2,20,"Conger","basic_if_n","identity scale; plug-in IF covariance",500,500,0.888,0.022,0.09,0.797475289609758,0.823533384023597,0.4761005061497,-0.0238994938503004,0.190507913162804,0.195456994805956,0.198792281604973,-0.00247851128655334,1.05263157894737,1.08873583553853
0.5,2,20,"Conger","basic_if_unbiased","identity scale; n-1 IF covariance",500,500,0.89,0.022,0.088,0.81819238346245,0.84492742422764,0.4761005061497,-0.0238994938503004,0.190507913162804,0.195456994805956,0.198792281604973,-0.00247851128655334,1.05263157894737,1.08873583553853
0.5,2,20,"Conger","fisher_delta2_center_var","Moss 2024 Fisher scale; second-order delta variance and bias",500,500,0.934,0.028,0.038,0.807329147902144,0.833914727104877,0.4761005061497,-0.0238994938503004,0.190507913162804,0.195456994805956,0.198792281604973,-0.00247851128655334,1.05263157894737,1.08873583553853
0.5,2,20,"Conger","fisher_delta2_var","Moss 2024 Fisher scale; second-order delta variance",500,500,0.936,0.026,0.038,0.806131007343861,0.833108686086412,0.4761005061497,-0.0238994938503004,0.190507913162804,0.195456994805956,0.198792281604973,-0.00247851128655334,1.05263157894737,1.08873583553853
0.5,2,20,"Conger","fisher_if_n","Moss 2024 Fisher scale; plug-in IF covariance",500,500,0.926,0.032,0.042,0.774732157536625,0.80369296880662,0.4761005061497,-0.0238994938503004,0.190507913162804,0.195456994805956,0.198792281604973,-0.00247851128655334,1.05263157894737,1.08873583553853
