"model_family","dgp","dgp_name","method","coefficient","n","reps","n_valid","n_error","truth","mean","sd","bias","abs_bias","mse","error_rate","rank_abs_bias","rank_sd"
"dawid_skene","A","Exchangeable + MCAR","available","Brennan-Prediger",1000,50,50,0,0.811504016765807,0.811615121693774,0.00895650953464287,0.000111104927967953,0.000111104927967953,7.86270260882844e-05,0,2,1
"dawid_skene","A","Exchangeable + MCAR","fiml","Brennan-Prediger",1000,50,50,0,0.811504016765807,0.801326171335695,0.010314104820066,-0.0101778454301111,0.0101778454301111,0.000207841680673756,0,4,4
"dawid_skene","A","Exchangeable + MCAR","gwet","Brennan-Prediger",1000,50,50,0,0.811504016765807,0.811615121693774,0.00895650953464287,0.000111104927967953,0.000111104927967953,7.86270260882844e-05,0,2,1
"dawid_skene","A","Exchangeable + MCAR","ipw","Brennan-Prediger",1000,50,50,0,0.811504016765807,0.811442677455587,0.010095605436457,-6.13393102192328e-05,6.13393102192328e-05,9.98865866570267e-05,0,1,3
"dawid_skene","A","Exchangeable + MCAR","available","Conger",1000,50,50,0,0.806614931894098,0.806395507620983,0.00927880830462933,-0.000219424273115387,0.000219424273115387,8.44225048946093e-05,0,1,1
"dawid_skene","A","Exchangeable + MCAR","fiml","Conger",1000,50,50,0,0.806614931894098,0.795821446262425,0.0107916489840882,-0.0107934856316728,0.0107934856316728,0.000230629826120985,0,4,4
"dawid_skene","A","Exchangeable + MCAR","gwet","Conger",1000,50,50,0,0.806614931894098,0.806383496313665,0.00929004787831517,-0.000231435580432926,0.000231435580432926,8.46324522176508e-05,0,2,2
"dawid_skene","A","Exchangeable + MCAR","ipw","Conger",1000,50,50,0,0.806614931894098,0.806207493550304,0.0104259400435439,-0.000407438343794086,0.000407438343794086,0.000106692227279734,0,3,3
"dawid_skene","A","Exchangeable + MCAR","available","Fleiss",1000,50,50,0,0.806614931894098,0.8063810289488,0.00927748008963942,-0.000233902945297682,0.000233902945297682,8.44049146652017e-05,0,1,1
"dawid_skene","A","Exchangeable + MCAR","fiml","Fleiss",1000,50,50,0,0.806614931894098,0.795806905050745,0.0107943193778404,-0.0108080268433534,0.0108080268433534,0.000231000428460851,0,4,4
"dawid_skene","A","Exchangeable + MCAR","gwet","Fleiss",1000,50,50,0,0.806614931894098,0.806357610960609,0.00929252639849846,-0.000257320933489069,0.000257320933489069,8.46902399922667e-05,0,2,2
"dawid_skene","A","Exchangeable + MCAR","ipw","Fleiss",1000,50,50,0,0.806614931894098,0.806181608775583,0.0104279356045265,-0.000433323118515294,0.000433323118515294,0.000106754773077748,0,3,3
"dawid_skene","B","Non-exchangeable + MCAR","available","Brennan-Prediger",1000,50,50,0,0.652966509793337,0.772345492521546,0.0124013103638393,0.119378982728209,0.119378982728209,0.0144020581659876,0,3,1
"dawid_skene","B","Non-exchangeable + MCAR","fiml","Brennan-Prediger",1000,50,50,0,0.652966509793337,0.640577811937395,0.0215791911365872,-0.012388697855942,0.012388697855942,0.000609828094872999,0,2,3
"dawid_skene","B","Non-exchangeable + MCAR","gwet","Brennan-Prediger",1000,50,50,0,0.652966509793337,0.772345492521546,0.0124013103638393,0.119378982728209,0.119378982728209,0.0144020581659876,0,3,1
"dawid_skene","B","Non-exchangeable + MCAR","ipw","Brennan-Prediger",1000,50,50,0,0.652966509793337,0.647944305251957,0.0226962487270667,-0.00502220454138014,0.00502220454138014,0.000530039850610718,0,1,4
"dawid_skene","B","Non-exchangeable + MCAR","available","Conger",1000,50,50,0,0.642218244562776,0.765999611677925,0.0128366387301947,0.123781367115149,0.123781367115149,0.015483310552907,0,4,1
"dawid_skene","B","Non-exchangeable + MCAR","fiml","Conger",1000,50,50,0,0.642218244562776,0.62920574877592,0.0222342129251071,-0.0130124957868566,0.0130124957868566,0.000653798066513979,0,2,3
"dawid_skene","B","Non-exchangeable + MCAR","gwet","Conger",1000,50,50,0,0.642218244562776,0.765126302595115,0.0128779097570898,0.122908058032339,0.122908058032339,0.0152689144777984,0,3,2
"dawid_skene","B","Non-exchangeable + MCAR","ipw","Conger",1000,50,50,0,0.642218244562776,0.636783589698167,0.0234886931429495,-0.00543465486460881,0.00543465486460881,0.000570219804949785,0,1,4
"dawid_skene","B","Non-exchangeable + MCAR","available","Fleiss",1000,50,50,0,0.642154054601733,0.766063063266599,0.0128429019087519,0.123909008664867,0.123909008664867,0.015515083755159,0,4,1
"dawid_skene","B","Non-exchangeable + MCAR","fiml","Fleiss",1000,50,50,0,0.642154054601733,0.629035669216623,0.0222555492739651,-0.0131183853851103,0.0131183853851103,0.000657495319128449,0,2,3
"dawid_skene","B","Non-exchangeable + MCAR","gwet","Fleiss",1000,50,50,0,0.642154054601733,0.764995773944902,0.0128907456814039,0.12284171934317,0.12284171934317,0.0152529359089242,0,3,2
"dawid_skene","B","Non-exchangeable + MCAR","ipw","Fleiss",1000,50,50,0,0.642154054601733,0.636581766990423,0.0235083114492834,-0.0055722876113099,0.0055722876113099,0.000572638282275735,0,1,4
"dawid_skene","C","Difficulty + MAR","available","Brennan-Prediger",1000,50,50,0,0.622317972975058,0.691896684514568,0.0100202553254572,0.0695787115395102,0.0695787115395102,0.00493959450594998,0,2,2
"dawid_skene","C","Difficulty + MAR","fiml","Brennan-Prediger",1000,50,50,0,0.622317972975058,0.609499194752145,0.0113680099553015,-0.012818778222913,0.012818778222913,0.000290968092465187,0,1,4
"dawid_skene","C","Difficulty + MAR","gwet","Brennan-Prediger",1000,50,50,0,0.622317972975058,0.691896684514568,0.0100202553254572,0.0695787115395102,0.0695787115395102,0.00493959450594998,0,2,2
"dawid_skene","C","Difficulty + MAR","ipw","Brennan-Prediger",1000,50,50,0,0.622317972975058,0.695243005345256,0.00989055400304065,0.0729250323701983,0.0729250323701983,0.0054139269435118,0,4,1
"dawid_skene","C","Difficulty + MAR","available","Conger",1000,50,50,0,0.61288244757986,0.688333595496466,0.0100415074607937,0.0754511479166063,0.0754511479166063,0.00579169095657707,0,2,3
"dawid_skene","C","Difficulty + MAR","fiml","Conger",1000,50,50,0,0.61288244757986,0.599708034301731,0.0118217191373352,-0.0131744132781286,0.0131744132781286,0.00031052314771773,0,1,4
"dawid_skene","C","Difficulty + MAR","gwet","Conger",1000,50,50,0,0.61288244757986,0.688402786945328,0.0100231919070258,0.075520339365468,0.075520339365468,0.00580177674636042,0,3,2
"dawid_skene","C","Difficulty + MAR","ipw","Conger",1000,50,50,0,0.61288244757986,0.691786724461564,0.00990284259275875,0.0789042768817036,0.0789042768817036,0.00632198987581316,0,4,1
"dawid_skene","C","Difficulty + MAR","available","Fleiss",1000,50,50,0,0.61288244757986,0.688116267253569,0.0100536586416873,0.075233819673709,0.075233819673709,0.00575918215373807,0,2,3
"dawid_skene","C","Difficulty + MAR","fiml","Fleiss",1000,50,50,0,0.61288244757986,0.599653822485448,0.0118275786373633,-0.0132286250944124,0.0132286250944124,0.00031209030598307,0,1,4
"dawid_skene","C","Difficulty + MAR","gwet","Fleiss",1000,50,50,0,0.61288244757986,0.688267024638037,0.0100259194196031,0.0753845770581764,0.0753845770581764,0.00578134313724433,0,3,2
"dawid_skene","C","Difficulty + MAR","ipw","Fleiss",1000,50,50,0,0.61288244757986,0.691652443324572,0.0099053181731877,0.0787699957447118,0.0787699957447118,0.00630086525117176,0,4,1
"guess","A","Exchangeable + MCAR","available","Brennan-Prediger",1000,50,50,0,0.847107967078189,0.845999087259021,0.0107740328374402,-0.00110887981916885,0.00110887981916885,0.000114987802363955,0,2,1
"guess","A","Exchangeable + MCAR","fiml","Brennan-Prediger",1000,50,50,0,0.847107967078189,0.833597984970112,0.0113433727124325,-0.0135099821080774,0.0135099821080774,0.000308618278963866,0,4,4
"guess","A","Exchangeable + MCAR","gwet","Brennan-Prediger",1000,50,50,0,0.847107967078189,0.845999087259021,0.0107740328374402,-0.00110887981916885,0.00110887981916885,0.000114987802363955,0,2,1
"guess","A","Exchangeable + MCAR","ipw","Brennan-Prediger",1000,50,50,0,0.847107967078189,0.846632516735402,0.0110555338044076,-0.000475450342787842,0.000475450342787842,0.000120006384174848,0,1,3
"guess","A","Exchangeable + MCAR","available","Conger",1000,50,50,0,0.84370021628009,0.842567002063634,0.0110343339535355,-0.00113321421645629,0.00113321421645629,0.000120605569742562,0,2,2
"guess","A","Exchangeable + MCAR","fiml","Conger",1000,50,50,0,0.84370021628009,0.829916007939809,0.0116377268152846,-0.0137842083402812,0.0137842083402812,0.000322732351286928,0,4,4
"guess","A","Exchangeable + MCAR","gwet","Conger",1000,50,50,0,0.84370021628009,0.842548414590399,0.0110308594941358,-0.00115180168969153,0.00115180168969153,0.000120572911088155,0,3,1
"guess","A","Exchangeable + MCAR","ipw","Conger",1000,50,50,0,0.84370021628009,0.843195153752675,0.0113298875026377,-0.000505062527414779,0.000505062527414779,0.000126054111962576,0,1,3
"guess","A","Exchangeable + MCAR","available","Fleiss",1000,50,50,0,0.84371493031845,0.842558087199436,0.0110362965304339,-0.00115684311901443,0.00115684311901443,0.000120702130287525,0,2,2
"guess","A","Exchangeable + MCAR","fiml","Fleiss",1000,50,50,0,0.84371493031845,0.829904929513372,0.0116396214050371,-0.013810000805078,0.013810000805078,0.000323487292959799,0,4,4
"guess","A","Exchangeable + MCAR","gwet","Fleiss",1000,50,50,0,0.84371493031845,0.842525639028099,0.0110336825320689,-0.00118929129035095,0.00118929129035095,0.000120721720987418,0,3,1
"guess","A","Exchangeable + MCAR","ipw","Fleiss",1000,50,50,0,0.84371493031845,0.84317246406087,0.0113327931250572,-0.000542466257580365,0.000542466257580365,0.00012615782565565,0,1,3
"guess","B","Non-exchangeable + MCAR","available","Brennan-Prediger",1000,50,50,0,0.636134949588477,0.811565611157398,0.0111969620421489,0.175430661568921,0.175430661568921,0.030898781538303,0,3,1
"guess","B","Non-exchangeable + MCAR","fiml","Brennan-Prediger",1000,50,50,0,0.636134949588477,0.693040065714285,0.0204186810628027,0.0569051161258078,0.0569051161258078,0.00364677632690924,0,1,3
"guess","B","Non-exchangeable + MCAR","gwet","Brennan-Prediger",1000,50,50,0,0.636134949588477,0.811565611157398,0.0111969620421489,0.175430661568921,0.175430661568921,0.030898781538303,0,3,1
"guess","B","Non-exchangeable + MCAR","ipw","Brennan-Prediger",1000,50,50,0,0.636134949588477,0.703887399008353,0.0243052355228308,0.0677524494198756,0.0677524494198756,0.00516932398673667,0,2,4
