"spec","mechanism","n","b","method","truth","est","observed_fraction"
"anchor_moderate","anchor",4000,66,"available",0.666931633438082,0.689218086308972,0.795375
"anchor_moderate","anchor",4000,67,"available",0.666931633438082,0.709562512058812,0.7890625
"anchor_moderate","anchor",4000,68,"available",0.666931633438082,0.712024762709193,0.7961875
"anchor_moderate","anchor",4000,69,"available",0.666931633438082,0.700754263439462,0.7956875
"anchor_moderate","anchor",4000,70,"available",0.666931633438082,0.699671045544712,0.7903125
"anchor_moderate","anchor",4000,71,"available",0.666931633438082,0.694908749870343,0.7940625
"anchor_moderate","anchor",4000,72,"available",0.666931633438082,0.70072013552881,0.7905
"anchor_moderate","anchor",4000,73,"available",0.666931633438082,0.705046690682533,0.7925
"anchor_moderate","anchor",4000,74,"available",0.666931633438082,0.698337225334362,0.7930625
"anchor_moderate","anchor",4000,75,"available",0.666931633438082,0.694791899513833,0.7949375
"anchor_moderate","anchor",4000,76,"available",0.666931633438082,0.694202178536735,0.793125
"anchor_moderate","anchor",4000,77,"available",0.666931633438082,0.709311917897481,0.7923125
"anchor_moderate","anchor",4000,78,"available",0.666931633438082,0.711634724898889,0.7925
"anchor_moderate","anchor",4000,79,"available",0.666931633438082,0.70601653358531,0.792875
"anchor_moderate","anchor",4000,80,"available",0.666931633438082,0.714016927482008,0.793625
"anchor_moderate","anchor",4000,1,"ipw",0.666931633438082,0.689999634522492,0.7875625
"anchor_moderate","anchor",4000,2,"ipw",0.666931633438082,0.713467389950367,0.795875
"anchor_moderate","anchor",4000,3,"ipw",0.666931633438082,0.694627382931268,0.7961875
"anchor_moderate","anchor",4000,4,"ipw",0.666931633438082,0.716043945186695,0.79425
"anchor_moderate","anchor",4000,5,"ipw",0.666931633438082,0.710100089055093,0.791125
"anchor_moderate","anchor",4000,6,"ipw",0.666931633438082,0.703425467328671,0.792
"anchor_moderate","anchor",4000,7,"ipw",0.666931633438082,0.69811253832593,0.7893125
"anchor_moderate","anchor",4000,8,"ipw",0.666931633438082,0.688506259750007,0.7921875
