"spec","mechanism","C","R","n","reps","n_ok","method","truth","mean_est","bias","abs_bias","sd_est","mse","mc_se_bias","mean_observed_fraction"
"anchor_moderate","anchor",3,4,500,120,120,"available",0.666931633438082,0.700325957182067,0.033394323743985,0.033394323743985,0.0201521691654736,0.00152129078039194,0.00183963293909833,0.792695833333333
"anchor_moderate","anchor",3,4,500,120,120,"ipw",0.666931633438082,0.695367763852676,0.0284361304145935,0.0284361304145935,0.0203231696244757,0.00122164473654098,0.00185524307388819,0.792695833333333
"anchor_moderate","anchor",3,4,500,120,120,"fiml",0.666931633438082,0.660707438077684,-0.00622419536039853,0.00622419536039853,0.0303207356660204,0.00095808761921309,0.0027678918140718,0.792695833333333
"anchor_moderate","anchor",3,4,500,120,120,"gwet",0.666931633438082,0.697985065585846,0.0310534321477631,0.0310534321477631,0.0201158235183421,0.00136896200397681,0.00183631505063148,0.792695833333333
"anchor_moderate","anchor",3,4,2000,120,120,"available",0.666931633438082,0.703603050423222,0.03667141698514,0.03667141698514,0.0113642867937669,0.001473939838029,0.00103741270448403,0.792192708333333
"anchor_moderate","anchor",3,4,2000,120,120,"ipw",0.666931633438082,0.698783880406382,0.0318522469682992,0.0318522469682992,0.011471048155981,0.00114615058272636,0.00104715863887647,0.792192708333333
"anchor_moderate","anchor",3,4,2000,120,120,"fiml",0.666931633438082,0.667138278787564,0.000206645349481671,0.000206645349481671,0.0136440744127916,0.000186203468882256,0.00124552788869417,0.792192708333333
"anchor_moderate","anchor",3,4,2000,120,120,"gwet",0.666931633438082,0.70134493164926,0.0344132982111771,0.0344132982111771,0.0112881054515454,0.00131169641845661,0.00103045833121807,0.792192708333333
"anchor_moderate","anchor",3,4,8000,120,120,"available",0.666931633438082,0.704827370388237,0.0378957369501541,0.0378957369501541,0.00601227740005547,0.0014722343585305,0.000548843325664815,0.792305729166667
"anchor_moderate","anchor",3,4,8000,120,120,"ipw",0.666931633438082,0.700105502464077,0.0331738690259944,0.0331738690259944,0.00611290468033631,0.00113787318978471,0.000558029297549851,0.792305729166667
"anchor_moderate","anchor",3,4,8000,120,120,"fiml",0.666931633438082,0.668273888626739,0.00134225518865627,0.00134225518865627,0.00760461976389605,5.96318907449131e-05,0.000694203630989246,0.792305729166667
"anchor_moderate","anchor",3,4,8000,120,120,"gwet",0.666931633438082,0.702573644382727,0.0356420109446446,0.0356420109446446,0.00599306373595713,0.00130626975712141,0.000547089366124984,0.792305729166667
