"spec","mechanism","C","R","n","reps","mean_observed_fraction","truth","largest_non_fiml_method","largest_non_fiml_bias","largest_non_fiml_abs_bias","fiml_bias","fiml_abs_bias","abs_bias_gap"
"sequential_four_cat","sequential",4,4,4000,80,0.689271875,0.547156100483704,"available",0.143706490155155,0.143706490155155,-0.00238222654350317,0.00238222654350317,0.141324263611652
"sequential_severe","sequential",3,4,4000,80,0.6824890625,0.559900224845024,"available",0.137132516728721,0.137132516728721,-0.00660010023397017,0.00660010023397017,0.130532416494751
"anchor_four_cat","anchor",4,4,4000,80,0.76504296875,0.545547179801692,"available",0.091477510217252,0.091477510217252,-0.00270987824652413,0.00270987824652413,0.0887676319707279
"anchor_severe","anchor",3,4,4000,80,0.7414171875,0.558053250281315,"available",0.0909531953338328,0.0909531953338328,0.00248350969580879,0.00248350969580879,0.088469685638024
"anchor_moderate","anchor",3,4,4000,80,0.7922734375,0.666931633438082,"available",0.0366836976618927,0.0366836976618927,0.000581060204572492,0.000581060204572492,0.0361026374573202
"anchor_extreme_skew","anchor",3,4,4000,80,0.8286453125,0.451902741738639,"available",0.0368688677466517,0.0368688677466517,-0.00152923088510093,0.00152923088510093,0.0353396368615508
