"phase","profile","profile_label","C","R","n","rep","seed","prune_tol","coefficient","estimate","se","truth","error","observed_fraction"
"scaling","p1","P1: C = 5, R = 6",5,6,2000,4,705004,1e-09,"Brennan-Prediger",0.839689313185493,0.00794024373374312,0.850228148148148,"",0.687666666666667
"scaling","p1","P1: C = 5, R = 6",5,6,2000,5,705005,1e-09,"Conger",0.848224323392243,0.0704396506396344,0.8464,"",0.6855
"scaling","p1","P1: C = 5, R = 6",5,6,2000,5,705005,1e-09,"Fleiss",0.848221366167926,0.0704389244496309,0.8464,"",0.6855
"scaling","p1","P1: C = 5, R = 6",5,6,2000,5,705005,1e-09,"Brennan-Prediger",0.852650897669041,0.0667347981314818,0.850228148148148,"",0.6855
"scaling","p1","P1: C = 5, R = 6",5,6,2000,6,705006,1e-09,"Conger",0.834945682971629,0.0572728373200384,0.8464,"",0.68925
"scaling","p1","P1: C = 5, R = 6",5,6,2000,6,705006,1e-09,"Fleiss",0.834942324038426,0.0573136595132021,0.8464,"",0.68925
"scaling","p1","P1: C = 5, R = 6",5,6,2000,6,705006,1e-09,"Brennan-Prediger",0.84000831407284,0.0540957563028621,0.850228148148148,"",0.68925
"scaling","p1","P1: C = 5, R = 6",5,6,2000,7,705007,1e-09,"Conger",0.825354234379382,0.0741296525975109,0.8464,"",0.691166666666667
"scaling","p1","P1: C = 5, R = 6",5,6,2000,7,705007,1e-09,"Fleiss",0.825346101654715,0.0740882243227774,0.8464,"",0.691166666666667
"scaling","p1","P1: C = 5, R = 6",5,6,2000,7,705007,1e-09,"Brennan-Prediger",0.829648508139751,0.0745907576896339,0.850228148148148,"",0.691166666666667
"scaling","p1","P1: C = 5, R = 6",5,6,2000,8,705008,1e-09,"Conger",0.838200436010338,0.0525907720229807,0.8464,"",0.700833333333333
"scaling","p1","P1: C = 5, R = 6",5,6,2000,8,705008,1e-09,"Fleiss",0.838196951859351,0.0526104269390932,0.8464,"",0.700833333333333
"scaling","p1","P1: C = 5, R = 6",5,6,2000,8,705008,1e-09,"Brennan-Prediger",0.842026157528984,0.0530282651596568,0.850228148148148,"",0.700833333333333
"scaling","p1","P1: C = 5, R = 6",5,6,8000,1,805001,1e-09,"Conger",0.847496634101567,0.039474592920636,0.8464,"",0.690916666666667
"scaling","p1","P1: C = 5, R = 6",5,6,8000,1,805001,1e-09,"Fleiss",0.847496244649126,0.0394743134337253,0.8464,"",0.690916666666667
"scaling","p1","P1: C = 5, R = 6",5,6,8000,1,805001,1e-09,"Brennan-Prediger",0.851421868902915,0.0387648031251881,0.850228148148148,"",0.690916666666667
"scaling","p1","P1: C = 5, R = 6",5,6,8000,2,805002,1e-09,"Conger",0.844229804481701,0.0387253904413877,0.8464,"",0.687770833333333
"scaling","p1","P1: C = 5, R = 6",5,6,8000,2,805002,1e-09,"Fleiss",0.844229144426192,0.0387198667736484,0.8464,"",0.687770833333333
