"dgp","dgp_label","family","p","mechanism","n","method","reps","n_valid","failures","truth","mean_estimate","bias","sd_estimate","mc_se_bias","rmse","mse","mean_se","se_over_sd","coverage95","mean_z","sd_z","mean_ci_length","mean_elapsed_ms","median_elapsed_ms","mean_observed_fraction","mean_complete_rows","min_pair_count_min","mean_em_iter"
"ordinal_congeneric6","Congeneric ordinal, 6 items","congeneric",6,"mar_anchor30",100,"cat_em",4,4,0,0.707836900907317,0.65850557293038,-0.0493313279769369,0.0775569380751059,0.0387784690375529,0.0833360000399435,0.00694488890265747,0.0723915664417586,0.933398974204665,1,-0.479010954795404,0.93420572598109,0.28376972602057,4.5,4,0.748333333333333,33.5,46,NA
"ordinal_congeneric6","Congeneric ordinal, 6 items","congeneric",6,"mar_anchor30",100,"listwise",4,4,0,0.707836900907317,0.62981758619425,-0.0780193147130666,0.116817591571725,0.0584087957858626,0.127756705279059,0.0163217757437603,0.0983549487258461,0.841953231551234,1,-0.624745035091696,1.00282188081983,0.385544314407884,1.25,0.5,0.748333333333333,33.5,46,NA
"ordinal_congeneric6","Congeneric ordinal, 6 items","congeneric",6,"mar_anchor30",100,"normal_fiml",4,4,0,0.707836900907317,0.694022869113577,-0.01381403179374,0.0617573509032921,0.030878675451646,0.0552386211571462,0.00305130526734272,0.0580766738267872,0.940400988341153,1,-0.0710912682116491,1.05102985363752,0.227656378084766,146,133.5,0.748333333333333,33.5,46,47
"ordinal_congeneric6","Congeneric ordinal, 6 items","congeneric",6,"mar_anchor30",100,"pairwise",4,4,0,0.707836900907317,0.66140430985251,-0.0464325910548067,0.0582195886406341,0.0291097943203171,0.0685428762759224,0.0046981258881764,0.0608562603834479,1.04528839527,1,-0.657617893246512,0.850545858826382,0.238552157170699,0.25,0,0.748333333333333,33.5,46,NA
"ordinal_congeneric6","Congeneric ordinal, 6 items","congeneric",6,"mcar30",100,"cat_em",4,4,0,0.707836900907317,0.658898140651682,-0.0489387602556351,0.074213326969772,0.037106663484886,0.0807819019353979,0.00652571568030024,0.0764723306898593,1.03043932690159,1,-0.896428477141447,0.940434748437269,0.299766027931923,3.25,2.5,0.76,18.75,38,NA
"ordinal_congeneric6","Congeneric ordinal, 6 items","congeneric",6,"mcar30",100,"listwise",4,4,0,0.707836900907317,0.742315148742147,0.0344782478348302,0.0764948564783439,0.0382474282391719,0.0746816367957465,0.0055773468744918,0.0857576184066562,1.12108999682789,1,0.593053015500266,1.07067258557622,0.336163686953951,0,0,0.76,18.75,38,NA
"ordinal_congeneric6","Congeneric ordinal, 6 items","congeneric",6,"mcar30",100,"normal_fiml",4,4,0,0.707836900907317,0.716543376430387,0.00870647552307005,0.070994886967025,0.0354974434835125,0.0620967647919705,0.00385600819762931,0.0463449102736402,0.652792225659378,0.75,0.593521840586632,2.12401088026317,0.18166871000615,133.25,130,0.76,18.75,38,46
"ordinal_congeneric6","Congeneric ordinal, 6 items","congeneric",6,"mcar30",100,"pairwise",4,4,0,0.707836900907317,0.714097186642741,0.00626028573542423,0.0759724312415508,0.0379862156207754,0.066091216580218,0.00436804890905328,0.0492876425354828,0.648756946829502,0.75,0.477578165300949,2.04962841807987,0.193204008504861,0,0,0.76,18.75,38,NA
"ordinal_tau6","Tau-equivalent ordinal, 6 items","tau_equivalent",6,"mar_anchor30",100,"cat_em",4,4,0,0.830494726795803,0.822815786639052,-0.007678940156751,0.0210793507880347,0.0105396753940173,0.0198045548842868,0.000392220394164726,0.0436176209739061,2.0692108316099,1,-0.368120222064566,0.449324326654189,0.17097793240035,5.50000000000001,3.50000000000006,0.740416666666667,32.75,47,NA
"ordinal_tau6","Tau-equivalent ordinal, 6 items","tau_equivalent",6,"mar_anchor30",100,"listwise",4,4,0,0.830494726795803,0.777319661151656,-0.0531750656441471,0.0343808337361781,0.017190416868089,0.0609435714620943,0.00371411890255539,0.0588744993345407,1.71242209500547,1,-0.85199362880675,0.497162605969579,0.230783796607054,0.5,0,0.740416666666667,32.75,47,NA
