"dgp","dgp_label","family","p","dist","mechanism","n","rep","seed","method","truth","estimate","bias","se","elapsed_ms","em_iter","observed_fraction","complete_rows","min_pair_count","error"
"congeneric6_zy","Congeneric Zhang-Yuan, 6 items","congeneric",6,"normal","mar_anchor30",160,3,2181803,"pairwise",0.777350269189626,0.778700079383277,0.00134981019365188,NA,0,NA,0.75625,55,81,""
"congeneric6_zy","Congeneric Zhang-Yuan, 6 items","congeneric",6,"normal","mar_anchor30",160,3,2181803,"fiml_sandwich",0.777350269189626,0.805763102412694,0.0284128332230686,0.0314392073580721,202,60,0.75625,55,81,""
"congeneric6_zy","Congeneric Zhang-Yuan, 6 items","congeneric",6,"normal","mar_anchor30",160,3,2181803,"fiml_normal",0.777350269189626,0.805763102412694,0.0284128332230686,0.0283704830298466,201,60,0.75625,55,81,""
"congeneric6_zy","Congeneric Zhang-Yuan, 6 items","congeneric",6,"normal","mar_anchor30",160,3,2181803,"listwise",0.777350269189626,0.799034949676422,0.0216846804867961,0.0359864715147534,6.00000000000001,2,0.75625,55,81,""
"congeneric6_zy","Congeneric Zhang-Yuan, 6 items","congeneric",6,"normal","mar_anchor30",160,4,2181804,"pairwise",0.777350269189626,0.735750092449152,-0.041600176740474,NA,0,NA,0.733333333333333,43,76,""
"congeneric6_zy","Congeneric Zhang-Yuan, 6 items","congeneric",6,"normal","mar_anchor30",160,4,2181804,"fiml_sandwich",0.777350269189626,0.774602438605753,-0.00274783058387229,0.0379458195825012,161,56,0.733333333333333,43,76,""
"congeneric6_zy","Congeneric Zhang-Yuan, 6 items","congeneric",6,"normal","mar_anchor30",160,4,2181804,"fiml_normal",0.777350269189626,0.774602438605753,-0.00274783058387229,0.0336180042159345,174,56,0.733333333333333,43,76,""
"congeneric6_zy","Congeneric Zhang-Yuan, 6 items","congeneric",6,"normal","mar_anchor30",160,4,2181804,"listwise",0.777350269189626,0.755284533016206,-0.02206573617342,0.0554341015180298,10,2,0.733333333333333,43,76,""
"congeneric6_zy","Congeneric Zhang-Yuan, 6 items","congeneric",6,"normal","mcar30",160,1,3181801,"pairwise",0.777350269189626,0.790811900802148,0.0134616316125223,NA,0,NA,0.846875,53,77,""
"congeneric6_zy","Congeneric Zhang-Yuan, 6 items","congeneric",6,"normal","mcar30",160,1,3181801,"fiml_sandwich",0.777350269189626,0.788002378953022,0.0106521097633963,0.0259476312461341,42,36,0.846875,53,77,""
"congeneric6_zy","Congeneric Zhang-Yuan, 6 items","congeneric",6,"normal","mcar30",160,1,3181801,"fiml_normal",0.777350269189626,0.788002378953022,0.0106521097633963,0.0271675902045682,47.0000000000002,36,0.846875,53,77,""
"congeneric6_zy","Congeneric Zhang-Yuan, 6 items","congeneric",6,"normal","mcar30",160,1,3181801,"listwise",0.777350269189626,0.799470026773125,0.0221197575834993,0.0379631977115544,4.99999999999989,2,0.846875,53,77,""
"congeneric6_zy","Congeneric Zhang-Yuan, 6 items","congeneric",6,"normal","mcar30",160,2,3181802,"pairwise",0.777350269189626,0.757661376315774,-0.0196888928738513,NA,0,NA,0.85,49,75,""
"congeneric6_zy","Congeneric Zhang-Yuan, 6 items","congeneric",6,"normal","mcar30",160,2,3181802,"fiml_sandwich",0.777350269189626,0.746736140440446,-0.0306141287491795,0.032512389646876,45.9999999999998,31,0.85,49,75,""
"congeneric6_zy","Congeneric Zhang-Yuan, 6 items","congeneric",6,"normal","mcar30",160,2,3181802,"fiml_normal",0.777350269189626,0.746736140440446,-0.0306141287491795,0.0323754694402999,40,31,0.85,49,75,""
"congeneric6_zy","Congeneric Zhang-Yuan, 6 items","congeneric",6,"normal","mcar30",160,2,3181802,"listwise",0.777350269189626,0.800649515366625,0.0232992461769993,0.0445726306066077,4.99999999999989,2,0.85,49,75,""
"congeneric6_zy","Congeneric Zhang-Yuan, 6 items","congeneric",6,"normal","mcar30",160,3,3181803,"pairwise",0.777350269189626,0.794646915805832,0.0172966466162066,NA,0.99999999999989,NA,0.853125,58,78,""
"congeneric6_zy","Congeneric Zhang-Yuan, 6 items","congeneric",6,"normal","mcar30",160,3,3181803,"fiml_sandwich",0.777350269189626,0.804200857455778,0.0268505882661523,0.0257087586935876,37.0000000000004,27,0.853125,58,78,""
"congeneric6_zy","Congeneric Zhang-Yuan, 6 items","congeneric",6,"normal","mcar30",160,3,3181803,"fiml_normal",0.777350269189626,0.804200857455778,0.0268505882661523,0.0248128664699023,35.9999999999996,27,0.853125,58,78,""
"congeneric6_zy","Congeneric Zhang-Yuan, 6 items","congeneric",6,"normal","mcar30",160,3,3181803,"listwise",0.777350269189626,0.779659703868366,0.00230943467874056,0.0442528399462351,4.99999999999989,2,0.853125,58,78,""
"congeneric6_zy","Congeneric Zhang-Yuan, 6 items","congeneric",6,"normal","mcar30",160,4,3181804,"pairwise",0.777350269189626,0.815470713378873,0.0381204441892476,NA,0,NA,0.834375,51,67,""
"congeneric6_zy","Congeneric Zhang-Yuan, 6 items","congeneric",6,"normal","mcar30",160,4,3181804,"fiml_sandwich",0.777350269189626,0.792496048395563,0.0151457792059377,0.0237772225660464,50.0000000000003,44,0.834375,51,67,""
"congeneric6_zy","Congeneric Zhang-Yuan, 6 items","congeneric",6,"normal","mcar30",160,4,3181804,"fiml_normal",0.777350269189626,0.792496048395563,0.0151457792059377,0.0264385702643752,44,44,0.834375,51,67,""
"congeneric6_zy","Congeneric Zhang-Yuan, 6 items","congeneric",6,"normal","mcar30",160,4,3181804,"listwise",0.777350269189626,0.832704346273224,0.0553540770835986,0.0318988406247843,4.99999999999989,2,0.834375,51,67,""
"tau6_essential","Essential-tau, 6 items","essential_tau",6,"normal","complete",160,1,4181801,"pairwise",0.9,0.896869728850341,-0.0031302711496588,NA,0,NA,1,160,160,""
"tau6_essential","Essential-tau, 6 items","essential_tau",6,"normal","complete",160,1,4181801,"fiml_sandwich",0.9,0.896869728850341,-0.0031302711496588,0.0106151228575318,9.00000000000034,2,1,160,160,""
"tau6_essential","Essential-tau, 6 items","essential_tau",6,"normal","complete",160,1,4181801,"fiml_normal",0.9,0.896869728850341,-0.0031302711496588,0.0126026401037089,9.99999999999979,2,1,160,160,""
"tau6_essential","Essential-tau, 6 items","essential_tau",6,"normal","complete",160,1,4181801,"listwise",0.9,0.896869728850341,-0.0031302711496588,0.0106151228575318,6.99999999999967,2,1,160,160,""
"tau6_essential","Essential-tau, 6 items","essential_tau",6,"normal","complete",160,2,4181802,"pairwise",0.9,0.908167972068641,0.00816797206864139,NA,0,NA,1,160,160,""
"tau6_essential","Essential-tau, 6 items","essential_tau",6,"normal","complete",160,2,4181802,"fiml_sandwich",0.9,0.908167972068641,0.00816797206864139,0.013439524360806,8.00000000000001,2,1,160,160,""
"tau6_essential","Essential-tau, 6 items","essential_tau",6,"normal","complete",160,2,4181802,"fiml_normal",0.9,0.908167972068641,0.00816797206864139,0.0112022764547556,8.9999999999999,2,1,160,160,""
"tau6_essential","Essential-tau, 6 items","essential_tau",6,"normal","complete",160,2,4181802,"listwise",0.9,0.908167972068641,0.00816797206864139,0.013439524360806,14.9999999999997,2,1,160,160,""
"tau6_essential","Essential-tau, 6 items","essential_tau",6,"normal","complete",160,3,4181803,"pairwise",0.9,0.895936622425293,-0.00406337757470698,NA,0,NA,1,160,160,""
"tau6_essential","Essential-tau, 6 items","essential_tau",6,"normal","complete",160,3,4181803,"fiml_sandwich",0.9,0.895936622425293,-0.00406337757470698,0.0121117085541091,8.00000000000001,2,1,160,160,""
"tau6_essential","Essential-tau, 6 items","essential_tau",6,"normal","complete",160,3,4181803,"fiml_normal",0.9,0.895936622425293,-0.00406337757470698,0.0127288659973516,7.00000000000012,2,1,160,160,""
"tau6_essential","Essential-tau, 6 items","essential_tau",6,"normal","complete",160,3,4181803,"listwise",0.9,0.895936622425293,-0.00406337757470698,0.0121117085541091,7.00000000000012,2,1,160,160,""
"tau6_essential","Essential-tau, 6 items","essential_tau",6,"normal","complete",160,4,4181804,"pairwise",0.9,0.882436865437975,-0.0175631345620253,NA,0,NA,1,160,160,""
"tau6_essential","Essential-tau, 6 items","essential_tau",6,"normal","complete",160,4,4181804,"fiml_sandwich",0.9,0.882436865437975,-0.0175631345620253,0.0143687256038722,7.00000000000012,2,1,160,160,""
"tau6_essential","Essential-tau, 6 items","essential_tau",6,"normal","complete",160,4,4181804,"fiml_normal",0.9,0.882436865437975,-0.0175631345620253,0.0142182179107579,10.9999999999997,2,1,160,160,""
"tau6_essential","Essential-tau, 6 items","essential_tau",6,"normal","complete",160,4,4181804,"listwise",0.9,0.882436865437975,-0.0175631345620253,0.0143687256038722,6.99999999999967,2,1,160,160,""
"tau6_essential","Essential-tau, 6 items","essential_tau",6,"normal","mar_anchor30",160,1,5181801,"pairwise",0.9,0.825156124816382,-0.0748438751836177,NA,0,NA,0.760416666666667,54,83,""
"tau6_essential","Essential-tau, 6 items","essential_tau",6,"normal","mar_anchor30",160,1,5181801,"fiml_sandwich",0.9,0.898599464784969,-0.0014005352150307,0.0156341878776834,157,45,0.760416666666667,54,83,""
"tau6_essential","Essential-tau, 6 items","essential_tau",6,"normal","mar_anchor30",160,1,5181801,"fiml_normal",0.9,0.898599464784969,-0.0014005352150307,0.0147910654871237,166,45,0.760416666666667,54,83,""
"tau6_essential","Essential-tau, 6 items","essential_tau",6,"normal","mar_anchor30",160,1,5181801,"listwise",0.9,0.834337182164668,-0.0656628178353323,0.0343592114246931,4.99999999999989,2,0.760416666666667,54,83,""
"tau6_essential","Essential-tau, 6 items","essential_tau",6,"normal","mar_anchor30",160,2,5181802,"pairwise",0.9,0.867535495510263,-0.0324645044897366,NA,0,NA,0.746875,45,77,""
"tau6_essential","Essential-tau, 6 items","essential_tau",6,"normal","mar_anchor30",160,2,5181802,"fiml_sandwich",0.9,0.876853835421424,-0.0231461645785763,0.016406908224939,137,35,0.746875,45,77,""
"tau6_essential","Essential-tau, 6 items","essential_tau",6,"normal","mar_anchor30",160,2,5181802,"fiml_normal",0.9,0.876853835421424,-0.0231461645785763,0.0176001165820965,136,35,0.746875,45,77,""
"tau6_essential","Essential-tau, 6 items","essential_tau",6,"normal","mar_anchor30",160,2,5181802,"listwise",0.9,0.878765159070929,-0.0212348409290706,0.0279305976969948,7.00000000000012,2,0.746875,45,77,""
