"cell","reps","mean_min_kappa","mean_max_kappa","mean_range","mean_wald","median_wald","reject_05"
"null",200,0.833011025936214,0.841713869413,0.00870284347678585,18.3933906388456,17.1612135829142,0.215
"one_bad",200,0.529988520667065,0.839536882489965,0.309548361822899,178.082779982507,175.563918691085,1
