"cell","reps","mean_AC","mean_IPW","mean_delta","sd_delta_mc","mean_se_boot","mean_boot_cor","reject_05"
"nonexch",200,0.770263996197999,0.680280166964906,0.0899838292330927,0.0121120457108091,0.0117650682638718,0.896571951145663,1
"null",200,0.836242310143342,0.836188066498253,5.42436450882616e-05,0.000492278812825741,0.000862390247911369,0.998346524218741,0
