"p1_2","p1_3","p1_4","p1_5","p1_6","p2_3","p2_4","p2_5","p2_6","p3_4","p3_5","p3_6","p4_5","p4_6","p5_6","cell","b","wald_stat","wald_df","p_chi","reject_05"
0.840935722125311,0.835968421275425,0.859616036616376,0.827890252233455,0.828076894592622,0.84661846607888,0.870271529631042,0.827956761563952,0.836069041374059,0.841445174383882,0.823021939996513,0.820555854629131,0.838691763760121,0.844128944990727,0.815121966679696,"null",1,21.9986576924698,14,0.078641957067811,FALSE
0.837051758772492,0.852298239395014,0.831540892779789,0.833494467719411,0.815026298434962,0.843875337148518,0.841851039762401,0.838489119550354,0.811885604949021,0.843680094007557,0.834819059172687,0.82160619296804,0.830220713073005,0.811641623972101,0.808069722052519,"null",2,10.4231544189914,14,0.730638066838481,FALSE
0.832211190181958,0.831370449678801,0.844838471498432,0.842569269521411,0.844808579409845,0.816156879462858,0.821625392024791,0.837959027541653,0.832264797972268,0.847454089033287,0.83451839514872,0.836729012986735,0.845308582706566,0.842188603342392,0.842617983162792,"null",3,15.7746554612374,14,0.327328711471236,FALSE
0.849408731123252,0.856933935270554,0.846902682898502,0.846880857467198,0.846754633030189,0.874849553186277,0.851439971136909,0.859448507767459,0.853927750009296,0.856372283042354,0.877656320646826,0.864200620949318,0.851656415065351,0.851429723606225,0.859453725802174,"null",4,12.200998634233,14,0.590164756672378,FALSE
0.837433041068145,0.836551395208008,0.828860532029821,0.828898964838737,0.820986763707872,0.842226584018355,0.845301155973776,0.845192974963967,0.842732090117178,0.847132528052522,0.830994076744785,0.833825602650214,0.844815223091495,0.850274585715126,0.834215733461682,"null",5,16.5479405161076,14,0.281068897019019,FALSE
0.835352292112025,0.864342031722259,0.845781724322657,0.821767098206329,0.873088222587056,0.837753645134773,0.811317703251266,0.787377203606513,0.838496944900541,0.851007460462798,0.813332900482088,0.870132681110798,0.808520048759965,0.854382284256568,0.81959665042139,"null",6,18.8505521811371,14,0.170738673267485,FALSE
0.81195837295639,0.862279782672096,0.830000809519955,0.849128989325876,0.85975057178613,0.800714197228311,0.776649964748368,0.801180023428516,0.803631472763954,0.821485564673616,0.843337240898704,0.856671534425875,0.824588863281861,0.824379383760767,0.862420217214198,"null",7,23.8475183112964,14,0.047802443621743,TRUE
0.836483045168208,0.846795609215916,0.823601103294918,0.810492825418517,0.831270187316875,0.881232589777365,0.847030787066856,0.850005089113048,0.868269654705193,0.857380428289265,0.86304312798754,0.873283257752638,0.831714587941148,0.833768573680739,0.842096529870519,"null",8,23.8011496897087,14,0.0484196351018211,TRUE
0.852666732148119,0.831744560660223,0.85766838924411,0.84062168534324,0.801088834271576,0.85133632128974,0.858013499639573,0.852037768729552,0.806997036996765,0.848162769511084,0.833764621786809,0.788465025301781,0.845973584469737,0.809095768471348,0.794554319837835,"null",9,16.7084701682365,14,0.272046642545231,FALSE
0.826830456193517,0.832369910939756,0.805122042320996,0.824886580385142,0.853802752840017,0.844678184097226,0.819902419856577,0.837147696182742,0.868995633187773,0.822805238422367,0.850829658318552,0.874547279312301,0.815370914402698,0.844333748443338,0.864167345829937,"null",10,11.2352999484351,14,0.667460362212251,FALSE
0.851735236873177,0.880944650085503,0.832828222910083,0.843540938322759,0.859949258539055,0.842700773478266,0.802694170558727,0.802599200661969,0.832564570663152,0.837239583333333,0.837165374845307,0.86181258535105,0.797137200168782,0.813614262560778,0.827089648613745,"null",11,21.3053237771145,14,0.094060293558312,FALSE
