"marg","reps","mean_kappa_F","mean_kappa_BP","mean_delta","sd_delta","mean_se","reject_05"
"skewed",200,0.708472206848792,0.727096666666667,-0.0186244598178746,0.00279169892917474,0.00259519513557398,1
"uniform",200,0.724224324393499,0.724650833333333,-0.000426508939833914,0.000326180909870745,0.000396857607336568,0
