"b","kappa_id","kappa_lin","kappa_quad","se_id","se_lin","se_quad","cor_id_lin","cor_id_quad","cor_lin_quad","delta_id_quad","se_id_quad"
1,0.718269718029793,0.689910880553339,0.664919478880682,0.0143680093942356,0.0181446272557802,0.0249616647559056,0.876769720951168,0.69480152030565,0.948873502230528,0.0533502391491112,0.0181973640328498
2,0.72230695450628,0.69990287231626,0.679268459123789,0.0138508145054132,0.0180563165512377,0.0255978205568831,0.866965247632479,0.686045132888071,0.950510390805173,0.0430384953824912,0.0189899437742153
3,0.704132074298582,0.652663005160087,0.595826079165025,0.0144838506440569,0.018081284937463,0.0255709912574437,0.873995972894537,0.648534889677473,0.929416595700673,0.108305995133557,0.0195771917046635
4,0.722571994180464,0.709746869211376,0.698059152318625,0.0136793063061947,0.0174849623932918,0.0247745455314348,0.849670848944106,0.645463336567757,0.945524298180095,0.0245128418618389,0.0190632706809187
5,0.719289007798714,0.693428102015888,0.668399130280012,0.0137742741803241,0.0171690094693082,0.0243099476784424,0.863659384128455,0.652254995595831,0.937424457845391,0.050889877518702,0.0185441785003081
6,0.715561527917804,0.696846659209231,0.678125904026454,0.0134568071674548,0.0153348709849898,0.0205428414985527,0.865519620555125,0.622886862717597,0.922512016640373,0.0374356238913507,0.0160844953569076
7,0.692406021192349,0.673515739373467,0.65592736993658,0.0132181040618552,0.0166805574213168,0.022277308083666,0.87848407201723,0.708583810092949,0.949452895308443,0.0364786512557698,0.0159277180134704
8,0.694630645030216,0.655911276616631,0.614482857006296,0.0129845327144858,0.0170903285673539,0.0249443988874168,0.840495833434589,0.626543895413812,0.941902280426138,0.0801477880239194,0.0196203163236736
9,0.697492476855389,0.658236431976348,0.622192619507946,0.0143045457329938,0.018518690342106,0.025581179489286,0.88914708777545,0.718795719188284,0.95137294355209,0.0752998573474424,0.018247274646843
10,0.70250173377064,0.685694851724825,0.659094006954426,0.0131575058017734,0.0162351732153519,0.0229519882134326,0.848792185161457,0.637221125907897,0.941794309134034,0.043407726816214,0.0177494714345766
11,0.70402729577527,0.666773884090048,0.626917847950642,0.0129361179891956,0.0175733349504265,0.0252456348163393,0.846345061266292,0.647523831948216,0.945569406458259,0.0771094478246284,0.0195383699028091
12,0.698916883275784,0.666563128223543,0.632954320226113,0.0131801287558137,0.0169529510072118,0.0244349479021506,0.865093452608669,0.671049394124871,0.944501381039664,0.065962563049671,0.0183997779453354
13,0.728335570252745,0.696126065902532,0.666796036500687,0.0134835752482369,0.0167992230387622,0.0238798640856761,0.871340593457955,0.662369147795393,0.937375172953081,0.0615395337520579,0.0180418291519095
14,0.706073666561953,0.688697878464637,0.669581294884823,0.014035200392818,0.0173943055248269,0.023858485988099,0.880278631891766,0.702568975718281,0.947529107826185,0.0364923716771297,0.0171956864255226
15,0.685308992935106,0.663897466750649,0.64441202371519,0.0137363380497944,0.0177357712197547,0.0242816686432258,0.859719197952476,0.665230806188271,0.946639653787981,0.0408969692199168,0.0182899601020686
16,0.718575398280923,0.683144761867669,0.651915207723642,0.0129912111177624,0.0171389100374656,0.0240655984149392,0.866559604777233,0.69052165948033,0.951648103086849,0.0666601905572809,0.0177807046161635
17,0.690549869078791,0.672224497582578,0.655887155016548,0.0138475328895073,0.0159758136922628,0.0222646093911789,0.829643605462042,0.565554475376742,0.921911824187841,0.0346627140622431,0.0184047520694341
18,0.714421058305582,0.696785128445443,0.679862679025065,0.0126042106449397,0.01542639324976,0.0219146745956967,0.83041078786863,0.577713999786773,0.92627545007935,0.0345583792805165,0.0178877061376737
19,0.695336768408307,0.666643147319213,0.637169884184307,0.0139870092252106,0.0162522930459547,0.0225109819944215,0.843148595446795,0.598191495943405,0.92760165793374,0.0581668842240003,0.018046773062043
20,0.691468395102608,0.674667271604162,0.658349794011092,0.0133805307950474,0.0164430950534031,0.0218000299015719,0.882802772227969,0.721957662717278,0.955832761174605,0.0331186010915157,0.0152674694874426
21,0.699225387541891,0.690935098845561,0.68240780998755,0.0117888450438498,0.0151975889607551,0.0215043329208111,0.853137229032904,0.663163067870613,0.948125666832099,0.0168175775543407,0.0162841827288886
22,0.691729658222935,0.658511307842129,0.621883419521454,0.0141687009822563,0.0176619162280082,0.0251243769699717,0.849066090250134,0.630963936966122,0.938518137741784,0.0698462387014804,0.0195643960510872
23,0.705186983358165,0.6739276362363,0.643886999983785,0.0133269947534734,0.0167621016729693,0.0234567601769927,0.874002365108624,0.694553320613814,0.948059318017287,0.0612999833743795,0.0171342455867528
