"cell","b","kappa_AC","kappa_IPW","delta","se","z","boot_var_AC","boot_var_IPW","boot_cov","reject_05"
"null",1,0.840805727017714,0.841377312032948,-0.0005715850152338,0.000935105600626861,-0.611251835996523,0.00020839303836139,0.000202484366199595,0.000205001491038331,FALSE
"null",2,0.821775235473088,0.822897119689129,-0.0011218842160412,0.000950943359290712,-1.17975924126332,0.000212681830408974,0.000210577601784436,0.000211177569460416,FALSE
"null",3,0.835060287281933,0.83466102074416,0.000399266537773002,0.000916048639059214,0.435857355983903,0.000203965556214745,0.000204924780949355,0.000204025596027489,FALSE
"null",4,0.836508225388927,0.836536150990223,-2.79256012967188e-05,0.000682043145211621,-0.0409440392338438,0.000226490164627426,0.000224964752138915,0.000225494866957205,FALSE
"null",5,0.833185444377708,0.832673889448045,0.000511554929663371,0.0010502789121428,0.487065791523592,0.000250091014009168,0.000250239222777271,0.000249613575496574,FALSE
"null",6,0.841874469986591,0.840920640162626,0.000953829823964525,0.000874751715961125,1.09040063204279,0.000244216916301661,0.000251302187683791,0.000247376956710437,FALSE
"null",7,0.8571394204961,0.857656048626415,-0.000516628130315278,0.00084847508879726,-0.608890157338165,0.000276599785143092,0.000277026192438354,0.000276453033802568,FALSE
"null",8,0.819279046111229,0.818871208071317,0.000407838039911845,0.00102387714626683,0.398327124888829,0.000240771649029708,0.000240770360386472,0.000240246842502767,FALSE
"null",9,0.832830432467821,0.832810728702359,1.97037654617871e-05,0.000869292400337349,0.0226664416416623,0.000188725745436587,0.000189981650936572,0.000188975863547937,FALSE
"null",10,0.85070799892709,0.850524587973918,0.000183410953172425,0.000649676104525988,0.282311373151462,0.00026350164987783,0.000262429771643773,0.000262754671240405,FALSE
"null",11,0.80764291502962,0.807406009933959,0.000236905095660989,0.00100320221492174,0.236148896142009,0.000276749495302075,0.000274467834553904,0.000275105457585977,FALSE
"null",12,0.840505147708649,0.83983959258685,0.000665555121799333,0.000935999142619808,0.711063815653166,0.00025892491429785,0.000258229279834789,0.000258139049868827,FALSE
"null",13,0.819891512923044,0.819537620475655,0.000353892447389037,0.000938418771134761,0.377115695331948,0.000276044486138821,0.000277893911274732,0.000276528883811767,FALSE
"null",14,0.829795469102945,0.829637687411161,0.000157781691783487,0.000747493323574329,0.211081071639562,0.000213530142804971,0.000212741166356836,0.00021285628144651,FALSE
"null",15,0.809836375088797,0.809834307151591,2.0679372055854e-06,0.000754290255429166,0.00274156691101466,0.000296256466838835,0.000295539474683148,0.000295613493866274,FALSE
"null",16,0.817708571521406,0.817578641429424,0.000129930091982589,0.000783290653452334,0.165877240344851,0.00023545468736354,0.000235550119625057,0.000235195631370406,FALSE
"null",17,0.848147966518788,0.848825731923739,-0.000677765404951458,0.000895960515285558,-0.756467939589327,0.000237679999116245,0.000237047472656687,0.000236962363263991,FALSE
"null",18,0.850571903912639,0.849728896034414,0.000843007878225666,0.00101026041178126,0.834446117451343,0.000220662846940448,0.000223539735490263,0.000221590978165549,FALSE
"null",19,0.829260854676348,0.8287184203894,0.000542434286947335,0.000845430697039744,0.641607039875245,0.000196624294707338,0.000198302377186721,0.000197105959415281,FALSE
"null",20,0.827502901975316,0.827701854901237,-0.000198952925921314,0.000666609550369014,-0.298454958845369,0.000256867069819094,0.000255886263065333,0.000256154482295892,FALSE
"null",21,0.85562891718296,0.855835161047608,-0.000206243864648403,0.000901296208244904,-0.228830281057126,0.00017576396310337,0.000176709350436725,0.000175830489342549,FALSE
"null",22,0.81709541049429,0.817075054968044,2.03555262466848e-05,0.000714951143818738,0.0284712129250688,0.000250367974458404,0.000253539303656869,0.000251698061488613,FALSE
"null",23,0.836039402823261,0.836582180605837,-0.000542777782576165,0.00102462282702053,-0.52973422830574,0.00024772694076546,0.000245901352319258,0.000246289220573533,FALSE
"null",24,0.838888749570793,0.838448482577176,0.0004402669936171,0.000777023833144576,0.566606807715745,0.000244373134586949,0.000244390026644071,0.000244079697596873,FALSE
"null",25,0.857416895598567,0.857188345722819,0.000228549875747497,0.000825170762966371,0.276972823086815,0.000185894289948505,0.000187984322474719,0.000186598852817585,FALSE
"null",26,0.842694458096702,0.842342565560382,0.000351892536319731,0.000609757705798834,0.577102237451386,0.000198546339866522,0.000198713359057628,0.000198443947232185,FALSE
"null",27,0.850277508829354,0.850194860716114,8.26481132394363e-05,0.000748833328124242,0.110369170462087,0.000175645317796605,0.000177681754701083,0.000176383160572189,FALSE
"null",28,0.846961333124539,0.84698951510056,-2.81819760210578e-05,0.000780978764729164,-0.036085457497466,0.000236574763971085,0.000236766930462517,0.000236365883301322,FALSE
"null",29,0.826107989269177,0.826037519564295,7.04697048816705e-05,0.00068957264468509,0.102193301060909,0.000226802268458268,0.000229030906896579,0.000227678832461274,FALSE
"null",30,0.856806405920687,0.855991969656662,0.000814436264025664,0.000896387948348959,0.908575651341319,0.000203302754743016,0.000207495916673008,0.000204997580031039,FALSE
"null",31,0.81064027103187,0.810514730256671,0.00012554077519944,0.00105590721953891,0.118893755887246,0.000240378714125861,0.000240182278089232,0.00023972302607941,FALSE
"null",32,0.852796608460444,0.852981877070425,-0.000185268609981026,0.000927840652488516,-0.199677185391831,0.000213131194623316,0.000214355816109906,0.000213313061228406,FALSE
"null",33,0.812206436381679,0.81220979985355,-3.36347187113173e-06,0.000790899754145205,-0.0042527157879407,0.000212998876460539,0.000212148377670582,0.000212260865855007,FALSE
"null",34,0.834505284346698,0.834887567300348,-0.000382282953650503,0.000827533389140215,-0.461954718283555,0.000247279459810709,0.000248966090606014,0.00024778036945329,FALSE
"null",35,0.82716330277371,0.827174972722522,-1.16699488119654e-05,0.000625990095930128,-0.0186423856988114,0.000259329666678837,0.000257180771932058,0.000258059287505346,FALSE
"null",36,0.810778000914758,0.81111496426651,-0.000336963351752373,0.000841008533509495,-0.400665793896571,0.000239152419811202,0.000235993307523761,0.000237219215990763,FALSE
"null",37,0.843334883849204,0.844022246938449,-0.000687363089245552,0.000908548771367235,-0.756550568233304,0.000244268826706841,0.000241535239677681,0.000242489302757284,FALSE
"null",38,0.830579298788936,0.830512637984061,6.66608048746076e-05,0.000602434231018995,0.110652418873764,0.000228196167062133,0.000229051342975557,0.000228442291517494,FALSE
"null",39,0.824606581758853,0.824460631621117,0.00014595013773655,0.000838365861586998,0.174088836895471,0.000230349526423609,0.000231481814779794,0.000230564241942764,FALSE
"null",40,0.841149918068438,0.840814570961438,0.000335347107000894,0.000855726125765891,0.391886021594528,0.000239350518644397,0.000243690919107319,0.000241154585274699,FALSE
"null",41,0.846730058526431,0.847083865571967,-0.000353807045536225,0.00067199617327894,-0.526501577843603,0.000239183591770903,0.00024147734780882,0.000240104680361411,FALSE
"null",42,0.831516758782781,0.830684252454215,0.000832506328565907,0.00104966711584584,0.793114613193403,0.000222398414662358,0.000221468882513341,0.000221382748060806,FALSE
"null",43,0.85772715916512,0.858289981174431,-0.000562822009311015,0.000685790996829125,-0.820690285981182,0.000165390977076092,0.000165536589405092,0.000165228628594926,FALSE
"null",44,0.847911559392407,0.848144701768958,-0.000233142376550366,0.000887070238417088,-0.262822904493326,0.000228035130545105,0.000228267007540333,0.000227757622238776,FALSE
"null",45,0.837477615699879,0.837382515466865,9.51002330130679e-05,0.000767336755856532,0.123935458958842,0.000195472375661378,0.000197864277770138,0.000196373923867314,FALSE
"null",46,0.851358874861245,0.850985468640283,0.000373406220962491,0.000766219193465109,0.487336031447892,0.000192954648850627,0.000193369755090035,0.000192868656044114,FALSE
"null",47,0.825870391253478,0.826079629661638,-0.000209238408160339,0.000999385027403049,-0.209367163228426,0.000207289506089374,0.000207392787267799,0.000206841761462088,FALSE
"null",48,0.831886778012574,0.831595142144445,0.000291635868128859,0.000796023086501953,0.366366092986605,0.000303292652546904,0.000300873116814678,0.000301766058303669,FALSE
"null",49,0.856509693663491,0.856778884814203,-0.000269191150711445,0.00064763344285578,-0.415653567123449,0.000197353317557145,0.000196116381063332,0.000196525134772086,FALSE
"null",50,0.833497212034371,0.833258326791295,0.000238885243075582,0.00075493846608777,0.316430085108166,0.000237588844018601,0.00023694574498845,0.000236982328459736,FALSE
"null",51,0.816911210416726,0.817378668633265,-0.000467458216538819,0.00100860932266002,-0.463468070378316,0.000268198171569187,0.000265667462045576,0.000266424170424503,FALSE
"null",52,0.82472534240911,0.824373090213565,0.000352252195545244,0.000806249614154859,0.436902157050317,0.000205252326759475,0.000205403926808511,0.000205003107563831,FALSE
"null",53,0.833575728623628,0.834042402646301,-0.000466674022673308,0.000942099046509416,-0.495355583261005,0.000230646845239415,0.00022971056123457,0.000229734927930276,FALSE
"null",54,0.859937298250233,0.861152932003439,-0.00121563375320644,0.000867790942746365,-1.40083710641093,0.00018251955966521,0.000179689401806203,0.00018072795017555,FALSE
"null",55,0.847922917948983,0.84700025937181,0.000922658577172553,0.000855761447631877,1.07817263762676,0.000197649810694442,0.00020192519391397,0.00019942133847658,FALSE
"null",56,0.849405938414499,0.849271455268814,0.000134483145684317,0.000721273753167074,0.18645229372871,0.000190405306559261,0.000190211803193124,0.000190048436962689,FALSE
"null",57,0.860518598500287,0.86065190043072,-0.000133301930433927,0.000815697428760073,-0.163420804987159,0.000196926533510305,0.000195583518819577,0.000195922345017298,FALSE
"null",58,0.845043160671268,0.845004092633063,3.90680382054143e-05,0.000766896386122518,0.050943046430229,0.000203032533171996,0.000203100127279022,0.000202772265191985,FALSE
"null",59,0.8516956242965,0.852329044233007,-0.000633419936506563,0.000826006409203355,-0.766846273163264,0.000212480396699981,0.000210280317350063,0.000211039213731,FALSE
"null",60,0.842758922965813,0.841789370499544,0.000969552466268953,0.00100526352340214,0.964475924668657,0.000245778577757827,0.000251026553466369,0.000247897288236356,FALSE
"null",61,0.866135851751264,0.866127830708678,8.02104258590397e-06,0.000716467858272443,0.011195258089099,0.000196392013483522,0.000197351232060485,0.000196614959676035,FALSE
