"exch_label","pi_var_label","corr_M_label","method","n","B","truth","pi_var_pop","tetrachoric_corr_M","n_ok","mean_est","bias","sd_est","mse","mc_se_bias","mc_se_sd"
"exch","zero","none","available",1000,500,0.843045749937839,0,0,500,0.843583111670882,0.000537361733043418,0.0103292862085468,0.000106982911210214,0.000461939722427233,0.000326640710227728
"exch","zero","none","ipw",1000,500,0.843045749937839,0,0,500,0.843580580000874,0.000534830063035563,0.0103357814348921,0.000107114421066188,0.000462230197779983,0.000326846107319425
"exch","zero","mod","available",1000,500,0.843045749937839,0,0.4,500,0.843453036060018,0.000407286122179551,0.0109258103504168,0.000119539213798595,0.000488617093056055,0.000345504459903595
"exch","zero","mod","ipw",1000,500,0.843045749937839,0,0.4,500,0.8434514288028,0.000405678864961345,0.0109268614929195,0.000119560877426922,0.000488664101577855,0.000345537699948133
"exch","zero","high","available",1000,500,0.843045749937839,0,0.8,500,0.843953180574172,0.000907430636333029,0.00995670930033295,9.99594904510924e-05,0.000445277576554977,0.000314858793892336
"exch","zero","high","ipw",1000,500,0.843045749937839,0,0.8,500,0.843953793277689,0.000908043339850506,0.00996198554305384,0.00010006569866706,0.000445513537302771,0.000315025643337195
"exch","mid","none","available",1000,500,0.843045749937839,0.0241666666666667,0,500,0.843398823971891,0.000353074034052714,0.00948001653929939,8.99953748589122e-05,0.000423959228193915,0.000299784445202532
"exch","mid","none","ipw",1000,500,0.843045749937839,0.0241666666666667,0,500,0.843368403265409,0.000322653327570421,0.0100516137265787,0.000101139043678137,0.000449521831523998,0.000317859935362016
"exch","mid","mod","available",1000,500,0.843045749937839,0.0241666666666667,0.4,500,0.843392132670023,0.000346382732184347,0.0102153263013521,0.000104472872440252,0.000456843280443297,0.000323036981540963
"exch","mid","mod","ipw",1000,500,0.843045749937839,0.0241666666666667,0.4,500,0.843305210811827,0.000259460873988315,0.0105421095044147,0.000111203392748202,0.000471457469562358,0.000333370773768594
"exch","mid","high","available",1000,500,0.843045749937839,0.0241666666666667,0.8,500,0.843372740080023,0.000326990142184513,0.0102086019218862,0.000104322475752624,0.000456542557051451,0.000322824337991327
"exch","mid","high","ipw",1000,500,0.843045749937839,0.0241666666666667,0.8,500,0.843333999875461,0.000288249937622331,0.0104443244606307,0.000109167001465469,0.000467084389460682,0.000330278539174027
"exch","high","none","available",1000,500,0.843045749937839,0.0691666666666667,0,500,0.842854204697684,-0.000191545240154856,0.00998229672609313,9.96829375067956e-05,0.000446421881022357,0.000315667939340963
"exch","high","none","ipw",1000,500,0.843045749937839,0.0691666666666667,0,500,0.843097580303611,5.18303657729424e-05,0.0117085391311119,0.000137092574971596,0.000523621788287652,0.000370256517275226
"exch","high","mod","available",1000,500,0.843045749937839,0.0691666666666667,0.4,500,0.843709520044569,0.000663770106730799,0.00994705773412793,9.93845483206637e-05,0.000444845945392502,0.000314553584570379
"exch","high","mod","ipw",1000,500,0.843045749937839,0.0691666666666667,0.4,500,0.844055390218966,0.00100964028112738,0.0115198088241063,0.000133725368841232,0.000515181512370071,0.000364288340938818
"exch","high","high","available",1000,500,0.843045749937839,0.0691666666666667,0.8,500,0.843697463820222,0.000651713882383498,0.0105063516290803,0.000110808155538369,0.000469858328762783,0.000332240010465142
"exch","high","high","ipw",1000,500,0.843045749937839,0.0691666666666667,0.8,500,0.84367907517835,0.000633325240511295,0.0115832895377432,0.000134573697375459,0.000518020456189117,0.000366295777364673
"nonexch","zero","none","available",1000,500,0.694887512467808,0,0,500,0.693063248331258,-0.00182426413654935,0.0122130577417887,0.000152486719044165,0.000546184546475393,0.000386210796592049
"nonexch","zero","none","ipw",1000,500,0.694887512467808,0,0,500,0.693206485237561,-0.00168102723024677,0.012038194680499,0.000147743983714424,0.00053836443263944,0.000380681141068997
"nonexch","zero","mod","available",1000,500,0.694887512467808,0,0.4,500,0.694143346320368,-0.000744166147439551,0.0131088244454958,0.000172395061597822,0.00058624445130479,0.000414537426950604
"nonexch","zero","mod","ipw",1000,500,0.694887512467808,0,0.4,500,0.694271305448521,-0.000616207019286774,0.013012412644003,0.000169702593908428,0.00058193278446537,0.000411488618090233
"nonexch","zero","high","available",1000,500,0.694887512467808,0,0.8,500,0.693836896623607,-0.00105061584420107,0.0120808018666567,0.000147049567393501,0.000540269883931013,0.000382028498598488
"nonexch","zero","high","ipw",1000,500,0.694887512467808,0,0.8,500,0.693878662294526,-0.00100885017328167,0.012068583306783,0.000146668481704891,0.000539723453321718,0.000381642113809208
"nonexch","mid","none","available",1000,500,0.694887512467808,0.0241666666666667,0,500,0.741486108850428,0.0465985963826201,0.0120944757603455,0.00231770552874792,0.00054088139904712,0.000382460905083886
"nonexch","mid","none","ipw",1000,500,0.694887512467808,0.0241666666666667,0,500,0.693888888278799,-0.000998624189008979,0.0140838770545543,0.000199352843158675,0.000629850129614659,0.000445371297781751
"nonexch","mid","mod","available",1000,500,0.694887512467808,0.0241666666666667,0.4,500,0.73437708420507,0.0394895717372619,0.0124831265135805,0.00171525472354641,0.000558262389121917,0.000394751121029511
"nonexch","mid","mod","ipw",1000,500,0.694887512467808,0.0241666666666667,0.4,500,0.694530834149779,-0.000356678318029102,0.0141575743042883,0.000200564129603996,0.000633145970817857,0.000447701809446247
"nonexch","mid","high","available",1000,500,0.694887512467808,0.0241666666666667,0.8,500,0.728083258299412,0.0331957458316047,0.011800918984728,0.00124121923020061,0.000527753140936394,0.000373177824748624
"nonexch","mid","high","ipw",1000,500,0.694887512467808,0.0241666666666667,0.8,500,0.694352580907603,-0.000534931560204788,0.0130678210319718,0.000171054098297749,0.00058441072290581,0.00041324078516483
"nonexch","high","none","available",1000,500,0.694887512467808,0.0691666666666667,0,500,0.77993658031231,0.0850490678445023,0.0111959542648757,0.00735869333311994,0.000500698296184817,0.000354047160560834
"nonexch","high","none","ipw",1000,500,0.694887512467808,0.0691666666666667,0,500,0.694445807861637,-0.000441704606170212,0.0157986014781479,0.000249790911624449,0.000706534937091347,0.000499595645162502
"nonexch","high","mod","available",1000,500,0.694887512467808,0.0691666666666667,0.4,500,0.76918082270545,0.0742933102376419,0.0117652661398635,0.00565791743340832,0.000526158697242227,0.000372050382800258
"nonexch","high","mod","ipw",1000,500,0.694887512467808,0.0691666666666667,0.4,500,0.693703847086441,-0.00118366538136694,0.0160259786412387,0.000258233055144486,0.000716703552955389,0.000506785942395248
"nonexch","high","high","available",1000,500,0.694887512467808,0.0691666666666667,0.8,500,0.76049660784827,0.0656090953804628,0.0129291886112193,0.00447171731478714,0.000578210892572047,0.000408856843093621
"nonexch","high","high","ipw",1000,500,0.694887512467808,0.0691666666666667,0.8,500,0.693710040675448,-0.00117747179236016,0.0161679878795625,0.000262790271895485,0.00072305439916189,0.000511276668814137
