"spec","mechanism","C","R","n","reps","n_ok","method","truth","mean_est","bias","abs_bias","sd_est","mse","mc_se_bias","mean_observed_fraction"
"anchor_moderate","anchor",3,4,4000,80,80,"available",0.666931633438082,0.703615331099975,0.0366836976618927,0.0366836976618927,0.00740638507043042,0.00140054821396065,0.000828059024251099,0.7922734375
"anchor_moderate","anchor",3,4,4000,80,80,"ipw",0.666931633438082,0.698869620325919,0.0319379868878367,0.0319379868878367,0.00750058919949237,0.00107629384478717,0.000838591366068283,0.7922734375
"anchor_moderate","anchor",3,4,4000,80,80,"fiml",0.666931633438082,0.667512693642655,0.000581060204572492,0.000581060204572492,0.0109071095519557,0.000119302669739702,0.00121945191981052,0.7922734375
"anchor_moderate","anchor",3,4,4000,80,80,"gwet",0.666931633438082,0.701344330210275,0.0344126967721923,0.0344126967721923,0.00741310312266765,0.00123918779704216,0.000828810125325041,0.7922734375
"anchor_severe","anchor",3,4,4000,80,80,"available",0.558053250281315,0.649006445615148,0.0909531953338328,0.0909531953338328,0.0101001260444915,0.00837449628754897,0.00112922842083995,0.7414171875
"anchor_severe","anchor",3,4,4000,80,80,"ipw",0.558053250281315,0.642418804630292,0.084365554348977,0.084365554348977,0.0101495365148583,0.00722055985207663,0.00113475267936697,0.7414171875
"anchor_severe","anchor",3,4,4000,80,80,"fiml",0.558053250281315,0.560536759977124,0.00248350969580879,0.00248350969580879,0.0236541869075318,0.000565688378665625,0.00264461849388633,0.7414171875
"anchor_severe","anchor",3,4,4000,80,80,"gwet",0.558053250281315,0.643276954829017,0.0852237045477022,0.0852237045477022,0.0100528122021835,0.00736413885000641,0.00112393857245608,0.7414171875
"anchor_extreme_skew","anchor",3,4,4000,80,80,"available",0.451902741738639,0.48877160948529,0.0368688677466517,0.0368688677466517,0.00912395233527053,0.00144255991513638,0.00102008888225664,0.8286453125
"anchor_extreme_skew","anchor",3,4,4000,80,80,"ipw",0.451902741738639,0.481222762132533,0.0293200203938944,0.0293200203938944,0.0089768360520374,0.000940247181403543,0.00100364078176132,0.8286453125
"anchor_extreme_skew","anchor",3,4,4000,80,80,"fiml",0.451902741738639,0.450373510853538,-0.00152923088510093,0.00152923088510093,0.0147305693260768,0.000219328219770301,0.00164692771801905,0.8286453125
"anchor_extreme_skew","anchor",3,4,4000,80,80,"gwet",0.451902741738639,0.484661256237791,0.0327585144991528,0.0327585144991528,0.00892597992468282,0.00115279338980705,0.000997954893869462,0.8286453125
"sequential_severe","sequential",3,4,4000,80,80,"available",0.559900224845024,0.697032741573745,0.137132516728721,0.137132516728721,0.00956069286570588,0.0188967339924253,0.00106891795798578,0.6824890625
"sequential_severe","sequential",3,4,4000,80,80,"ipw",0.559900224845024,0.682785110105572,0.122884885260548,0.122884885260548,0.0100021979407853,0.0152007389891447,0.00111827972600022,0.6824890625
"sequential_severe","sequential",3,4,4000,80,80,"fiml",0.559900224845024,0.553300124611054,-0.00660010023397017,0.00660010023397017,0.018290136832276,0.000378090428441831,0.00204489946373709,0.6824890625
"sequential_severe","sequential",3,4,4000,80,80,"gwet",0.559900224845024,0.686360518106367,0.126460293261343,0.126460293261343,0.00950127555230035,0.0160824800088656,0.00106227490039502,0.6824890625
"anchor_four_cat","anchor",4,4,4000,80,80,"available",0.545547179801692,0.637024690018944,0.091477510217252,0.091477510217252,0.00861602742990305,0.00844237080422029,0.000963301151463301,0.76504296875
"anchor_four_cat","anchor",4,4,4000,80,80,"ipw",0.545547179801692,0.631780919373496,0.0862337395718038,0.0862337395718038,0.0086930558137533,0.00751182705991871,0.000971913186587606,0.76504296875
"anchor_four_cat","anchor",4,4,4000,80,80,"fiml",0.545547179801692,0.542837301555168,-0.00270987824652413,0.00270987824652413,0.0129651987932419,0.000175439819859265,0.00144955329217435,0.76504296875
"anchor_four_cat","anchor",4,4,4000,80,80,"gwet",0.545547179801692,0.634503533685576,0.0889563538838833,0.0889563538838833,0.00857593709342343,0.00798677959334504,0.000958818915582838,0.76504296875
"sequential_four_cat","sequential",4,4,4000,80,80,"available",0.547156100483704,0.690862590638859,0.143706490155155,0.143706490155155,0.0080746798545484,0.0207167557674671,0.000902776652565916,0.689271875
"sequential_four_cat","sequential",4,4,4000,80,80,"ipw",0.547156100483704,0.678640353190426,0.131484252706722,0.131484252706722,0.00857342448632187,0.0173616123172679,0.000958537997568845,0.689271875
"sequential_four_cat","sequential",4,4,4000,80,80,"fiml",0.547156100483704,0.544773873940201,-0.00238222654350317,0.00238222654350317,0.0147094615778606,0.000222043263215128,0.00164456780002588,0.689271875
"sequential_four_cat","sequential",4,4,4000,80,80,"gwet",0.547156100483704,0.684720789795824,0.13756468931212,0.13756468931212,0.00809093614874228,0.018989506993303,0.000904594161509904,0.689271875
