"spec","mechanism","n","b","method","truth","est","observed_fraction"
"anchor_moderate","anchor",500,69,"available",0.666931633438082,0.66296629554117,0.793
"anchor_moderate","anchor",500,70,"available",0.666931633438082,0.710299814056204,0.7755
"anchor_moderate","anchor",500,71,"available",0.666931633438082,0.703085662564062,0.8
"anchor_moderate","anchor",500,72,"available",0.666931633438082,0.731398424290617,0.794
"anchor_moderate","anchor",500,73,"available",0.666931633438082,0.696128837894107,0.8005
"anchor_moderate","anchor",500,74,"available",0.666931633438082,0.687224010101902,0.797
"anchor_moderate","anchor",500,75,"available",0.666931633438082,0.666323367547864,0.8055
"anchor_moderate","anchor",500,76,"available",0.666931633438082,0.684510876795261,0.795
"anchor_moderate","anchor",500,77,"available",0.666931633438082,0.706287522806147,0.792
"anchor_moderate","anchor",500,78,"available",0.666931633438082,0.690528089941439,0.785
"anchor_moderate","anchor",500,79,"available",0.666931633438082,0.72876272687129,0.803
"anchor_moderate","anchor",500,80,"available",0.666931633438082,0.72270974367478,0.791
"anchor_moderate","anchor",500,81,"available",0.666931633438082,0.726934964649185,0.79
"anchor_moderate","anchor",500,82,"available",0.666931633438082,0.685589288259136,0.78
"anchor_moderate","anchor",500,83,"available",0.666931633438082,0.756057238026196,0.8015
"anchor_moderate","anchor",500,84,"available",0.666931633438082,0.707674504935495,0.7755
"anchor_moderate","anchor",500,85,"available",0.666931633438082,0.703254681756181,0.8015
"anchor_moderate","anchor",500,86,"available",0.666931633438082,0.683695596818482,0.7975
"anchor_moderate","anchor",500,87,"available",0.666931633438082,0.680092382641877,0.7935
"anchor_moderate","anchor",500,88,"available",0.666931633438082,0.681111159578467,0.7935
"anchor_moderate","anchor",500,89,"available",0.666931633438082,0.676803446377468,0.806
"anchor_moderate","anchor",500,90,"available",0.666931633438082,0.715165918918789,0.8005
"anchor_moderate","anchor",500,91,"available",0.666931633438082,0.709190601998641,0.7875
"anchor_moderate","anchor",500,92,"available",0.666931633438082,0.70020033486765,0.7975
"anchor_moderate","anchor",500,93,"available",0.666931633438082,0.68716008124118,0.7975
"anchor_moderate","anchor",500,94,"available",0.666931633438082,0.698308030021677,0.7925
"anchor_moderate","anchor",500,95,"available",0.666931633438082,0.669306754179264,0.814
"anchor_moderate","anchor",500,96,"available",0.666931633438082,0.647068997733878,0.8215
"anchor_moderate","anchor",500,97,"available",0.666931633438082,0.666678803125049,0.8025
"anchor_moderate","anchor",500,98,"available",0.666931633438082,0.683573890954411,0.7805
"anchor_moderate","anchor",500,99,"available",0.666931633438082,0.701086135689795,0.7995
"anchor_moderate","anchor",500,100,"available",0.666931633438082,0.701017886911746,0.795
"anchor_moderate","anchor",500,101,"available",0.666931633438082,0.689128316487894,0.8
"anchor_moderate","anchor",500,102,"available",0.666931633438082,0.710442741739798,0.7885
"anchor_moderate","anchor",500,103,"available",0.666931633438082,0.729216614860893,0.7725
"anchor_moderate","anchor",500,104,"available",0.666931633438082,0.728247620506481,0.7845
"anchor_moderate","anchor",500,105,"available",0.666931633438082,0.737700574122088,0.7975
"anchor_moderate","anchor",500,106,"available",0.666931633438082,0.693912765638854,0.797
"anchor_moderate","anchor",500,107,"available",0.666931633438082,0.701471031849034,0.8225
"anchor_moderate","anchor",500,108,"available",0.666931633438082,0.680261517473911,0.7895
"anchor_moderate","anchor",500,109,"available",0.666931633438082,0.697701056748172,0.793
"anchor_moderate","anchor",500,110,"available",0.666931633438082,0.704784614580353,0.7985
"anchor_moderate","anchor",500,111,"available",0.666931633438082,0.703622207945529,0.8055
"anchor_moderate","anchor",500,112,"available",0.666931633438082,0.662303547681261,0.8055
"anchor_moderate","anchor",500,113,"available",0.666931633438082,0.711488313664204,0.7865
