"weight","city","n","Conger","se"
"nominal","Winnipeg",149,0.207942464040025,0.0504553652408769
"nominal","New Orleans",69,0.296516567544605,0.0785038706723704
"linear","Winnipeg",149,0.379730547986679,0.0516668262183339
"linear","New Orleans",69,0.477272727272727,0.0730309868510976
"quadratic","Winnipeg",149,0.524576464331844,0.060055098831795
"quadratic","New Orleans",69,0.625581395348825,0.078731873814065
