"weight","pair","our_Conger","our_se","multiagree_kappa","multiagree_se"
"nominal","p1",0.755102040816327,0.131577555520437,0.755102040816327,0.131899093876179
"nominal","p2",0.92156862745098,0.076501113386494,0.921568627450981,0.0749509818461504
"nominal","p3",0.695817490494297,0.132095760402364,0.695817490494297,0.133728909409624
"linear","p1",0.793103448275862,0.113527584694428,0.793103448275862,0.111222879067235
"linear","p2",0.935483870967742,0.0634721344675937,0.935483870967742,0.0611458473808153
"linear","p3",0.75,0.114607005130577,0.75,0.118357143686127
"quadratic","p1",0.842105263157895,0.0900553974016943,0.842105263157895,0.085175091974947
"quadratic","p2",0.952380952380952,0.0475704319375431,0.952380952380953,0.0448537135285141
"quadratic","p3",0.815668202764977,0.0914765142525589,0.815668202764977,0.0961372556248334
