"rate","b","alpha_A","alpha_B","diff","se_dep","corr","chisq_dep","reject_05"
0.1,1,0.761041516385705,0.80165484425341,-0.0406133278677053,0.0216441866018291,0.378172731594268,3.52090749821002,FALSE
0.1,2,0.76256780318676,0.80269559294974,-0.0401277897629795,0.020395841189688,0.340205045699291,3.87085796185169,TRUE
0.1,3,0.769953349818176,0.808435652818383,-0.0384823030002066,0.019497751018749,0.385502744679547,3.89540905160292,TRUE
0.1,4,0.765512894787521,0.803245750952496,-0.0377328561649743,0.0209247120835881,0.364564570005321,3.25177417945855,FALSE
0.1,5,0.763633034759202,0.800988834355804,-0.0373557995966024,0.0208472424815722,0.375279852473163,3.21084128143465,FALSE
0.1,6,0.764977065098373,0.805593537736784,-0.0406164726384106,0.0215116715591454,0.34433972782506,3.56497173925726,FALSE
0.1,7,0.767025453967832,0.803624990531712,-0.0365995365638804,0.0201189381632888,0.380596403093479,3.30933750221281,FALSE
0.1,8,0.763981416479159,0.805564589264188,-0.0415831727850289,0.0199208127300015,0.353021043824052,4.35733690048482,TRUE
0.1,9,0.765594567340257,0.802286872471876,-0.0366923051316196,0.0212844034039807,0.359159869293227,2.97185098923132,FALSE
0.1,10,0.761851843769597,0.807622241528951,-0.0457703977593537,0.0199414754125124,0.412805342498518,5.26810956165191,TRUE
0.1,11,0.764809322465667,0.808548426164333,-0.0437391036986663,0.0197324929053935,0.398172082693924,4.91332902296137,TRUE
0.1,12,0.763291968274093,0.807649535434587,-0.044357567160494,0.0203253630752679,0.404620805779164,4.76276126748561,TRUE
0.1,13,0.784081690941884,0.800005511717836,-0.0159238207759522,0.0198046790666649,0.368086289083234,0.646485730887994,FALSE
0.1,14,0.764717377084131,0.802599428022138,-0.037882050938007,0.0194623785542252,0.355129901794641,3.78856843256739,FALSE
0.1,15,0.761725570615001,0.798567221292703,-0.0368416506777018,0.0203405024659448,0.381949426151225,3.2806115290255,FALSE
0.1,16,0.765309460049133,0.809720932186698,-0.0444114721375655,0.0191035047137213,0.395206454523256,5.40460848581464,TRUE
0.1,17,0.754846961471663,0.804364578603279,-0.0495176171316167,0.021748479381266,0.345410091311262,5.18396046484019,TRUE
0.1,18,0.756645076500067,0.803568648327404,-0.0469235718273364,0.0205119269849507,0.35442551909857,5.2332225327108,TRUE
0.1,19,0.759440107295606,0.804236568555966,-0.04479646126036,0.0217011691831971,0.333043664775216,4.26109434651386,TRUE
0.1,20,0.765332090101633,0.81071894580719,-0.0453868557055566,0.0197830431312689,0.38287749806399,5.26349237431712,TRUE
0.1,21,0.763919896869286,0.808256370565649,-0.0443364736963628,0.0209541050508354,0.348125778638282,4.47696875379332,TRUE
0.1,22,0.764590337577418,0.805250334271192,-0.0406599966937738,0.0206454924186802,0.386949740038984,3.87868210483044,TRUE
0.1,23,0.76565887755791,0.794700053245179,-0.0290411756872698,0.0215939090338602,0.327289724638679,1.80869714549272,FALSE
0.1,24,0.775766445820646,0.803551184861844,-0.0277847390411982,0.0208103119553234,0.34700481892281,1.78260640780744,FALSE
0.1,25,0.76662608058601,0.806257861103278,-0.0396317805172677,0.0192621867040483,0.402352622778746,4.23327022627087,TRUE
0.1,26,0.758320123376598,0.800355601721906,-0.0420354783453071,0.0198895068696945,0.364547148490589,4.46667091345563,TRUE
0.1,27,0.767177899115347,0.808658734339231,-0.0414808352238839,0.0201070468945956,0.369276277430893,4.25596848296014,TRUE
0.1,28,0.767842509975696,0.801352719918825,-0.033510209943129,0.0207907951359195,0.364435920760337,2.59783820409111,FALSE
