"index","eigenvalue","relative","retained_at_info_rcond"
1,202113057.559744,1,TRUE
2,111170919.671542,0.550043233296194,TRUE
3,73539424.0988355,0.363852909785887,TRUE
4,67290108.6006428,0.33293300993555,TRUE
5,52912648.8331349,0.261797280551723,TRUE
6,48648854.9341612,0.24070119724838,TRUE
7,48531993.2357773,0.240122997602128,TRUE
8,46244308.5640126,0.228804161009453,TRUE
9,45413156.9666253,0.22469185076378,TRUE
10,44133670.0259696,0.218361300149664,TRUE
11,43902905.6597089,0.217219541328898,TRUE
12,43808025.6092559,0.216750100850393,TRUE
13,43473964.873532,0.215097259911974,TRUE
14,43460720.7392616,0.215031731566451,TRUE
15,43150043.9399884,0.21349458793494,TRUE
16,42400843.3027581,0.209787748573466,TRUE
17,41862814.921538,0.207125731642368,TRUE
18,41176596.8399766,0.203730512699828,TRUE
19,40417272.0138208,0.199973581627073,TRUE
20,40158546.1945686,0.19869347720247,TRUE
21,39305637.0200254,0.194473516429816,TRUE
22,38908475.7026113,0.192508471112066,TRUE
23,38437073.8478077,0.190176103968175,TRUE
24,36287166.538406,0.179538951993141,TRUE
25,35946768.6855632,0.177854756736523,TRUE
26,35833749.3005561,0.177295567803499,TRUE
27,33923724.1623034,0.167845287048194,TRUE
28,33701810.5738197,0.16674731944945,TRUE
29,33576835.9045991,0.166128979047649,TRUE
30,33496606.8722506,0.165732027790184,TRUE
31,32784670.5190876,0.162209561890362,TRUE
32,32142574.7171513,0.159032647891391,TRUE
33,31698406.3879564,0.156835024766208,TRUE
34,31429140.636277,0.155502771645452,TRUE
35,29967059.8296961,0.148268796640404,TRUE
36,28698229.1392022,0.141990970230704,TRUE
37,28318934.5830458,0.140114324749527,TRUE
38,28040250.3588323,0.138735471608724,TRUE
39,27656328.7038373,0.136835932511001,TRUE
40,27527341.9363934,0.136197741347099,TRUE
41,27373345.4018218,0.135435808711816,TRUE
42,27252537.5967168,0.134838084811324,TRUE
43,26975754.6440824,0.133468638641066,TRUE
44,26604516.0081592,0.131631851644691,TRUE
45,26419408.4097182,0.130715989994405,TRUE
46,26333458.10165,0.130290731433153,TRUE
47,26221702.5211191,0.129737795458208,TRUE
48,26110590.8155745,0.129188045200178,TRUE
49,25384939.5290863,0.125597721570179,TRUE
50,25069084.3146891,0.124034956560284,TRUE
51,24941881.4824827,0.123405591818875,TRUE
52,24875340.8204679,0.123076366865188,TRUE
53,24812411.368451,0.122765009188565,TRUE
54,24681279.5489106,0.12211620489495,TRUE
55,24119047.5254859,0.119334434977593,TRUE
56,23992176.8614281,0.118706713713121,TRUE
57,23505864.4983084,0.116300573461762,TRUE
58,23279376.9106964,0.115179974969282,TRUE
59,23142917.6225053,0.114504811821296,TRUE
60,22892513.2555389,0.113265879661298,TRUE
61,22656551.3912423,0.112098405045132,TRUE
62,22102484.59637,0.109357034440175,TRUE
63,21015577.3950823,0.103979315581182,TRUE
64,20942322.695924,0.103616871412345,TRUE
65,20397542.3087433,0.1009214474068,TRUE
66,20293239.3833948,0.10040538512657,TRUE
67,20228467.0927598,0.100084909589675,TRUE
68,20206793.1962406,0.0999776730915442,TRUE
69,19866292.6172037,0.0982929695738795,TRUE
70,19763436.1942867,0.0977840641911254,TRUE
71,19529095.0888745,0.096624608645593,TRUE
72,19402848.0282534,0.0959999727999659,TRUE
73,19125773.0877984,0.094629081954019,TRUE
74,18721792.534398,0.0926302969260849,TRUE
75,18592468.6389385,0.0919904377451843,TRUE
76,18551264.0869543,0.0917865689180945,TRUE
77,18366274.4688804,0.090871291002321,TRUE
78,18062428.3658974,0.0893679437834351,TRUE
79,17836377.7137259,0.0882495071277296,TRUE
80,17791384.308334,0.088026892092684,TRUE
81,17752920.7339402,0.0878365848712793,TRUE
82,17721790.4966454,0.0876825609914238,TRUE
83,17604828.4771153,0.0871038649836433,TRUE
84,17290662.7253927,0.0855494589719002,TRUE
85,16168377.0673203,0.0799966972076557,TRUE
86,16004009.1355563,0.0791834497423579,TRUE
87,15848858.7875973,0.0784158083547492,TRUE
88,15626770.5885249,0.0773169768306812,TRUE
89,15492919.5176837,0.076654718427106,TRUE
90,15260870.962786,0.075506605793022,TRUE
91,15133015.6429242,0.0748740127215725,TRUE
92,14783198.0022306,0.0731432109370801,TRUE
93,14559794.420444,0.0720378712599514,TRUE
94,14314366.2722795,0.0708235600663664,TRUE
95,14177397.0004805,0.0701458736592994,TRUE
96,14144029.4214675,0.0699807800259841,TRUE
97,14076001.0902585,0.0696441944929641,TRUE
98,14013374.6426682,0.0693343359991766,TRUE
99,13954675.2011197,0.0690439072547043,TRUE
100,13829480.4716113,0.0684244780549291,TRUE
101,13794968.8068185,0.0682537237988236,TRUE
102,13500107.7434272,0.0667948320926104,TRUE
103,13303644.4169876,0.0658227854133327,TRUE
104,12951513.8302633,0.0640805398059688,TRUE
105,12651285.7940736,0.0625950937896918,TRUE
106,12493628.3009771,0.0618150477352707,TRUE
107,12430507.7494341,0.0615027445505821,TRUE
108,12363853.5421438,0.0611729578059994,TRUE
109,11864770.0725873,0.0587036296211592,TRUE
110,11616759.6520626,0.0574765420518596,TRUE
111,11559669.1622231,0.0571940739593536,TRUE
112,11356343.550468,0.0561880745736139,TRUE
113,11041714.8757798,0.0546313781459465,TRUE
114,10767832.5613891,0.0532762835385148,TRUE
115,10734410.1244747,0.0531109184833426,TRUE
116,10540845.7315255,0.0521532149322397,TRUE
117,10175577.8118967,0.0503459694032327,TRUE
118,9965702.68220099,0.0493075647982572,TRUE
119,9830051.27807319,0.0486363988391371,TRUE
120,9122098.46456173,0.0451336424014329,TRUE
121,9097540.8253817,0.0450121379351875,TRUE
122,8954682.2266254,0.0443053127528804,TRUE
123,8637870.59119298,0.042737815633904,TRUE
124,8403951.18134955,0.0415804465224388,TRUE
125,8208450.50825974,0.0406131627880268,TRUE
126,8128329.01313171,0.0402167435952473,TRUE
127,8018003.02527792,0.0396708808529494,TRUE
128,7783158.63384174,0.0385089351861447,TRUE
129,7627557.4823625,0.0377390633463046,TRUE
130,7487897.5031702,0.0370480640567064,TRUE
131,7363355.65951986,0.0364318651571696,TRUE
132,7063769.23698107,0.0349495936693404,TRUE
133,6950146.34972734,0.0343874187726485,TRUE
134,6883672.86775942,0.0340585262074155,TRUE
135,6817074.09583953,0.033729013741848,TRUE
136,6812465.94434455,0.0337062138715644,TRUE
137,6713517.8026857,0.03321664559303,TRUE
138,6619880.03633415,0.0327533515956896,TRUE
139,6574510.89384949,0.0325288775165161,TRUE
140,6446349.95496271,0.0318947723259156,TRUE
141,6130620.51560796,0.03033262961645,TRUE
142,6046297.37319881,0.0299154218247949,TRUE
143,5986981.95287473,0.0296219453862103,TRUE
144,5919415.22543867,0.0292876437421115,TRUE
145,5688494.40930893,0.0281451108502845,TRUE
146,5573453.38569527,0.0275759194036623,TRUE
147,5467540.83133991,0.0270518931203825,TRUE
148,5317367.9457375,0.0263088788519549,TRUE
149,5295185.73598768,0.0261991273593119,TRUE
150,5258520.89295943,0.0260177197675861,TRUE
151,5219475.01628638,0.0258245314741405,TRUE
152,4938088.68235227,0.024432309035217,TRUE
153,4795844.31574493,0.0237285229051927,TRUE
154,4711334.08967371,0.0233103894748663,TRUE
155,4667115.12828368,0.0230916061764297,TRUE
156,4557955.97634538,0.0225515166183563,TRUE
157,4523903.78783598,0.0223830357249369,TRUE
158,4452027.37449991,0.0220274109364948,TRUE
159,4382483.12650626,0.0216833250628095,TRUE
160,4265615.54770395,0.0211050963218596,TRUE
161,4168007.44108157,0.0206221581693182,TRUE
162,4133806.01923789,0.0204529389102727,TRUE
163,4097510.75346284,0.0202733598854771,TRUE
164,4092159.67116929,0.0202468841972748,TRUE
165,4063557.31502454,0.0201053675803374,TRUE
166,3993599.32223343,0.0197592346108214,TRUE
167,3935245.28950554,0.0194705148545006,TRUE
168,3927019.95474288,0.0194298181530506,TRUE
169,3830646.8368122,0.0189529903859867,TRUE
170,3790137.80107649,0.0187525627826204,TRUE
171,3707683.23882516,0.0183446002133196,TRUE
172,3655956.19947462,0.0180886690034558,TRUE
173,3588705.75119185,0.0177559322219003,TRUE
174,3498215.69799908,0.0173082122463316,TRUE
175,3446381.6049799,0.0170517513642638,TRUE
176,3363784.67770371,0.016643084411849,TRUE
177,3319724.24196846,0.0164250854548928,TRUE
