"b","kappa_id","kappa_lin","kappa_quad","se_id","se_lin","se_quad","cor_id_lin","cor_id_quad","cor_lin_quad","delta_id_quad","se_id_quad","reject_id_eq_quad"
1,0.718269718029793,0.689910880553339,0.664919478880682,0.0135333871143941,0.0166845030192972,0.0232526727174421,0.849463238916689,0.62438328003904,0.935028098015541,0.0533502391491112,0.0181897835792266,TRUE
2,0.72230695450628,0.69990287231626,0.679268459123789,0.0133088620455646,0.0168164312154422,0.0235007232958692,0.862837454292019,0.663412772991274,0.943385399868311,0.0430384953824912,0.0177319312401069,TRUE
3,0.704132074298582,0.652663005160087,0.595826079165025,0.0136224948016934,0.0176246451647528,0.0255700557248126,0.859828001094072,0.642643116639748,0.935377443698658,0.108305995133557,0.019791386865525,TRUE
4,0.722571994180464,0.709746869211376,0.698059152318625,0.0133683761849911,0.016812832275821,0.0232284378859469,0.870260483830824,0.681547217121186,0.946942423042824,0.0245128418618389,0.0171754729270585,FALSE
5,0.719289007798714,0.693428102015888,0.668399130280012,0.0134821537721383,0.0169951583997553,0.0238035129317155,0.863460202496923,0.664011826090634,0.942796429943443,0.050889877518702,0.0179494530874383,TRUE
6,0.715561527917804,0.696846659209231,0.678125904026454,0.0130844441381375,0.015965552817243,0.0220145280330987,0.859506316190181,0.653608736160243,0.940639481583565,0.0374356238913507,0.0167122985998836,TRUE
7,0.692406021192349,0.673515739373467,0.65592736993658,0.013329632310238,0.0172407218327797,0.0243728377693347,0.85654786366709,0.662272039386306,0.946614451766854,0.0364786512557698,0.0184768817409913,TRUE
8,0.694630645030216,0.655911276616631,0.614482857006296,0.0137092485985171,0.0172950870414828,0.0245769741263346,0.859953272151342,0.646750670711405,0.937369100260966,0.0801477880239194,0.0188719197979594,TRUE
9,0.697492476855389,0.658236431976348,0.622192619507946,0.0135766497400004,0.0176547032786934,0.024495116190056,0.877030686261231,0.698537018992769,0.948974891113842,0.0752998573474424,0.0178807980800485,TRUE
10,0.70250173377064,0.685694851724825,0.659094006954426,0.0131202861350029,0.0159506936373593,0.0220766656706645,0.862911751805083,0.65603070419221,0.939246656415703,0.043407726816214,0.0167176445895662,TRUE
