"cell","reps","mean_AC","mean_IPW","mean_delta","sd_delta_mc","mean_se","mean_cor_AC_IPW","reject_05"
"nonexch",200,0.770263996197999,0.680280166964906,0.0899838292330927,0.0121120457108091,0.0112220108277521,0.925639067028661,1
"null",200,0.836242310143342,0.836188066498253,5.42436450882616e-05,0.000492278812825741,0.000482108885932087,0.999460108389227,0.045
