"model_family","dgp","dgp_name","n","rep","seed","method","coefficient","estimate","truth","error"
"guess","A","Exchangeable + MCAR",1000,5,210205,"gwet","Conger",0.843986315414082,0.84370021628009,""
"guess","A","Exchangeable + MCAR",1000,5,210205,"gwet","Fleiss",0.84396699379041,0.84371493031845,""
"guess","A","Exchangeable + MCAR",1000,5,210205,"gwet","Brennan-Prediger",0.847591480846198,0.847107967078189,""
"guess","A","Exchangeable + MCAR",1000,6,210206,"available","Conger",0.846779941465097,0.84370021628009,""
"guess","A","Exchangeable + MCAR",1000,6,210206,"available","Fleiss",0.846773676956259,0.84371493031845,""
"guess","A","Exchangeable + MCAR",1000,6,210206,"available","Brennan-Prediger",0.849384014423077,0.847107967078189,""
"guess","A","Exchangeable + MCAR",1000,6,210206,"ipw","Conger",0.845217785903058,0.84370021628009,""
"guess","A","Exchangeable + MCAR",1000,6,210206,"ipw","Fleiss",0.845192858786522,0.84371493031845,""
"guess","A","Exchangeable + MCAR",1000,6,210206,"ipw","Brennan-Prediger",0.847884908247822,0.847107967078189,""
"guess","A","Exchangeable + MCAR",1000,6,210206,"fiml","Conger",0.833178794901818,0.84370021628009,""
"guess","A","Exchangeable + MCAR",1000,6,210206,"fiml","Fleiss",0.833168745393397,0.84371493031845,""
"guess","A","Exchangeable + MCAR",1000,6,210206,"fiml","Brennan-Prediger",0.835788877335293,0.847107967078189,""
"guess","A","Exchangeable + MCAR",1000,6,210206,"gwet","Conger",0.846743176778477,0.84370021628009,""
"guess","A","Exchangeable + MCAR",1000,6,210206,"gwet","Fleiss",0.846718495320632,0.84371493031845,""
"guess","A","Exchangeable + MCAR",1000,6,210206,"gwet","Brennan-Prediger",0.849384014423077,0.847107967078189,""
"guess","A","Exchangeable + MCAR",1000,7,210207,"available","Conger",0.838888277179435,0.84370021628009,""
"guess","A","Exchangeable + MCAR",1000,7,210207,"available","Fleiss",0.838894427792169,0.84371493031845,""
"guess","A","Exchangeable + MCAR",1000,7,210207,"available","Brennan-Prediger",0.841653721225816,0.847107967078189,""
"guess","A","Exchangeable + MCAR",1000,7,210207,"ipw","Conger",0.834066345060236,0.84370021628009,""
"guess","A","Exchangeable + MCAR",1000,7,210207,"ipw","Fleiss",0.834048792442618,0.84371493031845,""
"guess","A","Exchangeable + MCAR",1000,7,210207,"ipw","Brennan-Prediger",0.836984904369964,0.847107967078189,""
"guess","A","Exchangeable + MCAR",1000,7,210207,"fiml","Conger",0.819555212986117,0.84370021628009,""
"guess","A","Exchangeable + MCAR",1000,7,210207,"fiml","Fleiss",0.819545955472056,0.84371493031845,""
