"target","R","n","coefficient","method","reps","valid_reps","coverage","miss_below","miss_above","mean_length","median_length","mean_estimate","bias","sd_estimate","mean_se","mean_skew_if"
0.5,5,20,"Conger","arcsine",300,300,0.936666666666667,0.04,0.0233333333333333,0.457841857498427,0.459431588034099,0.486005134901831,-0.0139948650981687,0.122641619648288,0.110784156416534,0.173688709060092
0.5,5,20,"Conger","basic",300,300,0.936666666666667,0.0333333333333333,0.03,0.463747808454275,0.465798230281471,0.486005134901831,-0.0139948650981687,0.122641619648288,0.110784156416534,0.173688709060092
0.5,5,20,"Conger","cf_if",300,300,0.903333333333333,0.0533333333333333,0.0433333333333333,0.434265913268115,0.436185983381956,0.486005134901831,-0.0139948650981687,0.122641619648288,0.110784156416534,0.173688709060092
0.5,5,20,"Conger","cf_student_minus",300,300,0.94,0.0366666666666667,0.0233333333333333,0.434265913268115,0.436185983381956,0.486005134901831,-0.0139948650981687,0.122641619648288,0.110784156416534,0.173688709060092
0.5,5,20,"Conger","cf_student_plus",300,300,0.883333333333333,0.07,0.0466666666666667,0.434265913268115,0.436185983381956,0.486005134901831,-0.0139948650981687,0.122641619648288,0.110784156416534,0.173688709060092
0.5,5,20,"Conger","fisher",300,300,0.943333333333333,0.05,0.00666666666666667,0.460660749152664,0.463435487827599,0.486005134901831,-0.0139948650981687,0.122641619648288,0.110784156416534,0.173688709060092
0.5,5,40,"Conger","arcsine",300,300,0.953333333333333,0.0433333333333333,0.00333333333333333,0.329296591346046,0.328924564921941,0.486739984061067,-0.0132600159389328,0.0803085852412008,0.0819104664975464,0.285167535019662
0.5,5,40,"Conger","basic",300,300,0.953333333333333,0.0366666666666667,0.01,0.331359113681125,0.330847797923504,0.486739984061067,-0.0132600159389328,0.0803085852412008,0.0819104664975464,0.285167535019662
0.5,5,40,"Conger","cf_if",300,300,0.94,0.05,0.01,0.321083128584131,0.32058766955985,0.486739984061067,-0.0132600159389328,0.0803085852412008,0.0819104664975464,0.285167535019662
0.5,5,40,"Conger","cf_student_minus",300,300,0.966666666666667,0.0266666666666667,0.00666666666666667,0.321083128584131,0.32058766955985,0.486739984061067,-0.0132600159389328,0.0803085852412008,0.0819104664975464,0.285167535019662
0.5,5,40,"Conger","cf_student_plus",300,300,0.936666666666667,0.0533333333333333,0.01,0.321083128584131,0.32058766955985,0.486739984061067,-0.0132600159389328,0.0803085852412008,0.0819104664975464,0.285167535019662
