"index","eigenvalue","relative","gradient_projection"
1,202113057.559744,1,-2.08119339069018
2,111170919.671542,0.550043233296194,1.67323805372413
3,73539424.0988355,0.363852909785887,-1.63805876668679
4,67290108.6006428,0.33293300993555,1.37269808817215
5,52912648.8331349,0.261797280551723,-1.72389837473555
6,48648854.9341612,0.24070119724838,2.04064280399034
7,48531993.2357773,0.240122997602128,-0.275209395579955
8,46244308.5640126,0.228804161009453,1.69837650470515
9,45413156.9666253,0.22469185076378,-2.6309393433153
10,44133670.0259696,0.218361300149664,2.7166052833657
11,43902905.6597089,0.217219541328898,-0.86893285179109
12,43808025.6092559,0.216750100850393,0.490725923005427
13,43473964.873532,0.215097259911974,1.00178384858093
14,43460720.7392616,0.215031731566451,1.40462417377927
15,43150043.9399884,0.21349458793494,-0.330172770788748
16,42400843.3027581,0.209787748573466,0.883815147273005
17,41862814.921538,0.207125731642368,-1.04439245242911
18,41176596.8399766,0.203730512699828,1.22468963495763
19,40417272.0138208,0.199973581627073,-1.01885450615185
20,40158546.1945686,0.19869347720247,0.97402784364923
21,39305637.0200254,0.194473516429816,-1.33539516229434
22,38908475.7026113,0.192508471112066,0.942431573990817
23,38437073.8478077,0.190176103968175,-0.757667527092768
24,36287166.538406,0.179538951993141,2.18401040653002
25,35946768.6855632,0.177854756736523,-0.568728167638955
26,35833749.3005561,0.177295567803499,0.502650908838576
27,33923724.1623034,0.167845287048194,-2.62001218181866
28,33701810.5738197,0.16674731944945,0.310054237719302
29,33576835.9045991,0.166128979047649,-0.831981002315938
30,33496606.8722506,0.165732027790184,0.493476899780093
31,32784670.5190876,0.162209561890362,-1.48743178673287
32,32142574.7171513,0.159032647891391,1.10350402790405
33,31698406.3879564,0.156835024766208,-1.10477597143059
34,31429140.636277,0.155502771645452,0.754540763238593
35,29967059.8296961,0.148268796640404,-2.38897810153931
36,28698229.1392022,0.141990970230704,3.39931376379793
37,28318934.5830458,0.140114324749527,-2.27838608234243
38,28040250.3588323,0.138735471608724,1.02397989913583
39,27656328.7038373,0.136835932511001,-0.452889624474419
40,27527341.9363934,0.136197741347099,0.90213799433735
41,27373345.4018218,0.135435808711816,-0.213835260494037
42,27252537.5967168,0.134838084811324,0.240335254897469
43,26975754.6440824,0.133468638641066,-0.75784768651533
44,26604516.0081592,0.131631851644691,1.18064563851499
45,26419408.4097182,0.130715989994405,-0.55795066336402
46,26333458.10165,0.130290731433153,0.0862049986070385
47,26221702.5211191,0.129737795458208,-0.743902897976014
48,26110590.8155745,0.129188045200178,0.472136288144844
49,25384939.5290863,0.125597721570179,-1.50170134326297
50,25069084.3146891,0.124034956560284,0.967008814030988
51,24941881.4824827,0.123405591818875,-0.25152631020845
52,24875340.8204679,0.123076366865188,0.161847113954629
53,24812411.368451,0.122765009188565,-0.248091296568937
54,24681279.5489106,0.12211620489495,0.372586611601145
55,24119047.5254859,0.119334434977593,-1.08938659852004
56,23992176.8614281,0.118706713713121,0.693246044736616
57,23505864.4983084,0.116300573461762,-0.410290585900087
58,23279376.9106964,0.115179974969282,0.382921740601714
59,23142917.6225053,0.114504811821296,-1.10543149879638
60,22892513.2555389,0.113265879661298,0.285990967815081
61,22656551.3912423,0.112098405045132,-0.520255301285884
62,22102484.59637,0.109357034440175,0.654016214435479
63,21015577.3950823,0.103979315581182,-1.39797306592486
64,20942322.695924,0.103616871412345,0.326307599029978
65,20397542.3087433,0.1009214474068,-1.51828370424119
66,20293239.3833948,0.10040538512657,0.74771758658211
67,20228467.0927598,0.100084909589675,0.0936078838697924
68,20206793.1962406,0.0999776730915442,-0.0506512804352271
69,19866292.6172037,0.0982929695738795,-0.996037650950274
70,19763436.1942867,0.0977840641911254,1.18250824450956
71,19529095.0888745,0.096624608645593,-0.916580094944237
72,19402848.0282534,0.0959999727999659,-0.127905484128898
73,19125773.0877984,0.094629081954019,-1.15014822899001
74,18721792.534398,0.0926302969260849,0.325370601119549
75,18592468.6389385,0.0919904377451843,-0.170235640349506
76,18551264.0869543,0.0917865689180945,0.587132289739171
77,18366274.4688804,0.090871291002321,-0.429584542773975
78,18062428.3658974,0.0893679437834351,-0.189464104836132
79,17836377.7137259,0.0882495071277296,-1.00877386042071
80,17791384.308334,0.088026892092684,0.0812690144568238
81,17752920.7339402,0.0878365848712793,0.0612509207582691
82,17721790.4966454,0.0876825609914238,-0.230507063459994
83,17604828.4771153,0.0871038649836433,0.370366881465218
84,17290662.7253927,0.0855494589719002,0.327429776234862
85,16168377.0673203,0.0799966972076557,-1.52542516484117
86,16004009.1355563,0.0791834497423579,0.206209160926159
87,15848858.7875973,0.0784158083547492,-0.377274165847648
88,15626770.5885249,0.0773169768306812,0.495024490184095
89,15492919.5176837,0.076654718427106,-0.647228021117974
90,15260870.962786,0.075506605793022,0.705851486448195
91,15133015.6429242,0.0748740127215725,-0.354962515436487
92,14783198.0022306,0.0731432109370801,0.636010707271549
93,14559794.420444,0.0720378712599514,-0.632756965802334
94,14314366.2722795,0.0708235600663664,1.10875703121251
95,14177397.0004805,0.0701458736592994,-0.160189598170707
96,14144029.4214675,0.0699807800259841,0.475904069322061
97,14076001.0902585,0.0696441944929641,-0.257614982108655
98,14013374.6426682,0.0693343359991766,0.253265985940539
99,13954675.2011197,0.0690439072547043,-0.0994803531868588
100,13829480.4716113,0.0684244780549291,0.230268343254444
101,13794968.8068185,0.0682537237988236,-0.151407829767892
102,13500107.7434272,0.0667948320926104,-0.00598852228592039
