"source","test","alpha_A","alpha_B","diff","corr","statistic","df","p_value"
"misskappa","paired (dependent IF)",0.76389769922549,0.804235571982232,-0.0403378727567417,0.395526420058232,4.35720771474548,1,0.0368526636275465
"misskappa","independent IF (var add)",0.76389769922549,0.804235571982232,-0.0403378727567417,NA,2.70592202306471,1,0.0999762660385476
"cocron","dependent (Feldt/normal)",0.76389769922549,0.804235571982232,-0.0403378727567416,NA,5.61729247896822,1,0.0177841020472853
"cocron","independent (Hakstian-Whalen)",0.76389769922549,0.804235571982232,-0.0403378727567416,NA,2.54833886626967,1,0.110410285228071
