"profile","profile_label","C","R","patterns","mechanism","n","method","reps","n_valid","failures","complete_reference_mean","mean_estimate","mean_delta_complete","sd_delta_complete","mc_se_delta","rmse_delta_complete","mean_se","se_over_sd_delta","cover_complete_ref95","mean_elapsed_ms","median_elapsed_ms","mean_observed_fraction","min_pair_count_min","max_psi_vcov_abs_error"
"tiny3x4","C = 3, R = 4",3,4,81,"complete",160,"available",5,5,0,0.832212713276467,0.832212713276467,0,0,0,0,0.0211856656491739,NA,1,0,0,1,160,2.00577401909818e-18
"tiny3x4","C = 3, R = 4",3,4,81,"complete",160,"fiml",5,5,0,0.832212713276467,0.832212713276467,-4.88498130835069e-16,5.30124228351228e-16,2.37078762222594e-16,6.80775867534495e-16,0.0211856656491739,NA,1,0.2,0,1,160,5.96311194867027e-19
"tiny3x4","C = 3, R = 4",3,4,81,"mar",160,"available",5,5,0,0.815874119528449,0.763127180536417,-0.052746938992032,0.0491088483049151,0.0219621446213031,0.0686409699705451,0.0370303682333423,0.754046765736025,0.6,0.2,0,0.710625,53,2.60208521396521e-18
"tiny3x4","C = 3, R = 4",3,4,81,"mar",160,"fiml",5,5,0,0.815874119528449,0.800652233032612,-0.015221886495837,0.0317943460303625,0.0142188638048082,0.0322553899385961,0.0361027617159268,1.13550886316233,1,0.799999999999995,1,0.710625,53,4.77048955893622e-18
"tiny3x4","C = 3, R = 4",3,4,81,"mcar",160,"available",5,5,0,0.82161454198282,0.821296263786945,-0.000318278195875532,0.00675475115439603,0.00302081655046494,0.00605001087075233,0.0292922449794399,4.33653946827875,1,0,0,0.7740625,89,1.95156391047391e-18
"tiny3x4","C = 3, R = 4",3,4,81,"mcar",160,"fiml",5,5,0,0.82161454198282,0.825366242755192,0.00375170077237186,0.0132465537365839,0.00592403892452107,0.0124278802457369,0.0271780884078351,2.0517101238774,1,0.4,0,0.7740625,89,2.81892564846231e-18
