"profile","profile_label","C","R","patterns","mechanism","n","method","reps","n_valid","n_finite_se","failures","truth","mean_estimate","bias","sd_estimate","mc_se_bias","rmse","mean_se","se_over_sd","coverage95","mean_z","sd_z","mean_elapsed_ms","median_elapsed_ms","mean_observed_fraction","min_pair_count_min","min_observed_categories","max_psi_vcov_abs_error"
"ordinal4x5","C = 4, R = 5",4,5,1024,"complete",250,"available",200,200,200,0,0.848384020813531,0.847741535188198,-0.000642485625332394,0.0142459953471742,0.00100734399147389,0.0142248525227262,0.0149994307043039,1.05288751952872,0.965,0.0459843473037406,0.972308130555632,0.125000000000037,0,1,250,4,2.00577401909818e-18
"ordinal4x5","C = 4, R = 5",4,5,1024,"complete",250,"fiml",200,200,200,0,0.848384020813531,0.8477415351882,-0.000642485625330892,0.0142459953471739,0.00100734399147387,0.0142248525227258,0.0149994307043038,1.05288751952873,0.965,0.0459843473038393,0.972308130555629,7.81499999999997,7.99999999999912,1,250,4,1.51788304147971e-18
"ordinal4x5","C = 4, R = 5",4,5,1024,"complete",1000,"available",200,200,200,0,0.848384020813531,0.848102787022319,-0.00028123379121167,0.00768363276167389,0.000543314882992672,0.00766955760129007,0.00751214245602152,0.97768109031606,0.935,0.0151389672179297,1.02497715519071,0.38499999999992,0,1,1000,4,7.04731412115578e-19
"ordinal4x5","C = 4, R = 5",4,5,1024,"complete",1000,"fiml",200,200,200,0,0.848384020813531,0.848102787022322,-0.000281233791208867,0.00768363276167392,0.000543314882992675,0.00766955760128999,0.00751214245602136,0.977681090316035,0.935,0.0151389672183045,1.02497715519075,118.355,118.500000000001,1,1000,4,6.57297567069337e-19
"ordinal4x5","C = 4, R = 5",4,5,1024,"complete",4000,"available",200,200,200,0,0.848384020813531,0.848264257850272,-0.000119762963258351,0.00396634450495299,0.000280462909597426,0.00395822844915239,0.00374332977346037,0.943773232200549,0.945,-0.00395095825390301,1.05095451150541,1.2050000000005,1.00000000000477,1,4000,4,3.37119113007212e-19
"ordinal4x5","C = 4, R = 5",4,5,1024,"complete",4000,"fiml",200,200,200,0,0.848384020813531,0.848264257850267,-0.000119762963263726,0.00396634450495303,0.000280462909597429,0.0039582284491526,0.00374332977346045,0.943773232200559,0.945,-0.0039509582553393,1.05095451150537,714.694999999999,713.500000000003,1,4000,4,5.96311194867027e-19
"ordinal4x5","C = 4, R = 5",4,5,1024,"mar",250,"available",200,200,200,0,0.848384020813531,0.82459282440884,-0.0237911964046908,0.0223258589263263,0.00157867662426196,0.032587923887244,0.0215321215299321,0.964447621074134,0.83,-1.00544872276575,0.92434434778764,0.205000000000553,0,0.687956,71,4,2.71050543121376e-18
"ordinal4x5","C = 4, R = 5",4,5,1024,"mar",250,"fiml",200,200,200,0,0.848384020813531,0.832823188302357,-0.0155608325111733,0.0236118729303776,0.0016696115465585,0.0282289292925659,0.0233239190508693,0.987804699764507,0.955,-0.529357409545363,0.892834634034569,15.8299999999991,11.0000000000241,0.687956,71,4,6.41847686111419e-17
"ordinal4x5","C = 4, R = 5",4,5,1024,"mar",1000,"available",200,200,200,0,0.848384020813531,0.828074439987579,-0.0203095808259514,0.00997650761438524,0.000705445618669103,0.0226166337898645,0.0106735539148106,1.06986876844762,0.52,-1.85875507030021,0.836161959152629,0.529999999999688,0.999999999976353,0.685909,330,4,6.50521303491303e-19
"ordinal4x5","C = 4, R = 5",4,5,1024,"mar",1000,"fiml",200,200,200,0,0.848384020813531,0.844441193771659,-0.00394282704187205,0.00907791471188074,0.000641905505180399,0.00987635448537148,0.0102879892706215,1.13329873623478,0.965,-0.329634007464823,0.871285816002723,58.4400000000005,54.5000000000186,0.685909,330,4,2.75929452897561e-17
