"profile","profile_label","C","R","patterns","mechanism","n","rep","seed","method","truth","estimate","bias","se","vcov","elapsed_ms","observed_fraction","min_pair_count","observed_categories","psi_vcov_max_abs_error","error"
"tiny3x4","C = 3, R = 4",3,4,81,"complete",250,1,1161601,"available",0.825352712419042,0.828498912255257,0.00314619983621567,0.017790669548785,0.000316507922994065,0,1,250,3,2.71050543121376e-19,""
"tiny3x4","C = 3, R = 4",3,4,81,"complete",250,1,1161601,"fiml",0.825352712419042,0.828498912255257,0.00314619983621511,0.017790669548785,0.000316507922994065,1,1,250,3,8.67361737988404e-19,""
"tiny3x4","C = 3, R = 4",3,4,81,"complete",250,2,1161602,"available",0.825352712419042,0.847469888624351,0.0221171762053097,0.0154132771223333,0.000237569111649844,0,1,250,3,7.31836466427715e-19,""
"tiny3x4","C = 3, R = 4",3,4,81,"complete",250,2,1161602,"fiml",0.825352712419042,0.847469888624351,0.0221171762053096,0.0154132771223333,0.000237569111649844,1,1,250,3,3.79470760369927e-19,""
"tiny3x4","C = 3, R = 4",3,4,81,"complete",250,3,1161603,"available",0.825352712419042,0.84142863114704,0.0160759187279983,0.0155686757382864,0.000242383664243909,0,1,250,3,5.6920614055489e-19,""
"tiny3x4","C = 3, R = 4",3,4,81,"complete",250,3,1161603,"fiml",0.825352712419042,0.841428631147039,0.0160759187279976,0.0155686757382865,0.000242383664243911,1,1,250,3,8.40256683676266e-19,""
"tiny3x4","C = 3, R = 4",3,4,81,"complete",250,4,1161604,"available",0.825352712419042,0.863445872358963,0.0380931599399216,0.01411691264724,0.000199287222689804,0,1,250,3,8.67361737988404e-19,""
"tiny3x4","C = 3, R = 4",3,4,81,"complete",250,4,1161604,"fiml",0.825352712419042,0.863445872358962,0.0380931599399207,0.0141169126472401,0.000199287222689807,1,1,250,3,2.71050543121376e-20,""
"tiny3x4","C = 3, R = 4",3,4,81,"complete",250,5,1161605,"available",0.825352712419042,0.813301780211112,-0.01205093220793,0.0191911498359468,0.000368300232025761,0,1,250,3,7.58941520739853e-19,""
"tiny3x4","C = 3, R = 4",3,4,81,"complete",250,5,1161605,"fiml",0.825352712419042,0.81330178021111,-0.0120509322079313,0.0191911498359469,0.000368300232025766,1,1,250,3,4.87890977618477e-19,""
