"target","R","n","coefficient","method","source","reps","valid_reps","coverage","miss_below","miss_above","mean_length","median_length","mean_estimate","bias","mean_se","mean_boot_reps_used"
0.8,2,10,"Conger","boot_basic","nonparametric bootstrap",120,120,0.541666666666667,0.0333333333333333,0.425,0.563346624210914,0.564457763964942,0.779437381468465,-0.0205626185315351,0.142482431979719,148.958333333333
0.8,2,10,"Conger","boot_bca","Efron 1987 BCa",120,120,0.7,0.025,0.275,0.603056684385946,0.580398418065816,0.779437381468465,-0.0205626185315351,0.142482431979719,148.958333333333
0.8,2,10,"Conger","boot_percentile","nonparametric bootstrap",120,120,0.65,0.025,0.325,0.563346624210914,0.564457763964942,0.779437381468465,-0.0205626185315351,0.142482431979719,148.958333333333
0.8,2,10,"Conger","boot_t","Efron 1987 bootstrap-t",120,94,0.723404255319149,0.0106382978723404,0.265957446808511,1.88876057349103,0.774932582891475,0.779437381468465,-0.0205626185315351,0.142482431979719,148.946808510638
0.8,2,10,"Conger","boot_t_arcsine","Efron 1987 bootstrap-t",120,94,0.542553191489362,0.180851063829787,0.276595744680851,0.68316821488299,0.491418444141377,0.779437381468465,-0.0205626185315351,0.142482431979719,148.946808510638
0.8,2,10,"Conger","boot_t_fisher","Efron 1987 bootstrap-t",120,94,0.691489361702128,0.0319148936170213,0.276595744680851,0.68221082840934,0.474843554376238,0.779437381468465,-0.0205626185315351,0.142482431979719,148.946808510638
0.8,2,10,"Conger","moss_arcsine","Moss 2024 transform",120,120,0.625,0.0333333333333333,0.341666666666667,0.586884100657322,0.480605746514367,0.779437381468465,-0.0205626185315351,0.142482431979719,NA
0.8,2,10,"Conger","moss_basic","Moss 2024 transform",120,120,0.625,0.0166666666666667,0.358333333333333,0.644635308151659,0.499064976826235,0.779437381468465,-0.0205626185315351,0.142482431979719,NA
0.8,2,10,"Conger","moss_fisher","Moss 2024 transform",120,120,0.725,0.0416666666666667,0.233333333333333,0.683210445245395,0.689530714244126,0.779437381468465,-0.0205626185315351,0.142482431979719,NA
0.8,2,20,"Conger","boot_basic","nonparametric bootstrap",120,120,0.633333333333333,0.0333333333333333,0.333333333333333,0.467028503868431,0.451376604103363,0.787861535061608,-0.0121384649383923,0.121014807120461,149
0.8,2,20,"Conger","boot_bca","Efron 1987 BCa",120,120,0.783333333333333,0.025,0.191666666666667,0.514247154869574,0.527619642716303,0.787861535061608,-0.0121384649383923,0.121014807120461,149
0.8,2,20,"Conger","boot_percentile","nonparametric bootstrap",120,120,0.725,0.0333333333333333,0.241666666666667,0.467028503868432,0.451376604103363,0.787861535061608,-0.0121384649383923,0.121014807120461,149
0.8,2,20,"Conger","boot_t","Efron 1987 bootstrap-t",120,112,0.803571428571429,0.00892857142857143,0.1875,1.29147606958924,0.975951326060846,0.787861535061608,-0.0121384649383923,0.121014807120461,149
0.8,2,20,"Conger","boot_t_arcsine","Efron 1987 bootstrap-t",120,112,0.776785714285714,0.0267857142857143,0.196428571428571,0.841803296315779,0.806896957543032,0.787861535061608,-0.0121384649383923,0.121014807120461,149
0.8,2,20,"Conger","boot_t_fisher","Efron 1987 bootstrap-t",120,112,0.758928571428571,0.0357142857142857,0.205357142857143,0.668427800364777,0.675880500499013,0.787861535061608,-0.0121384649383923,0.121014807120461,149
0.8,2,20,"Conger","moss_arcsine","Moss 2024 transform",120,120,0.758333333333333,0.0416666666666667,0.2,0.484357360315871,0.483851887547443,0.787861535061608,-0.0121384649383923,0.121014807120461,NA
0.8,2,20,"Conger","moss_basic","Moss 2024 transform",120,120,0.716666666666667,0.025,0.258333333333333,0.506573804485412,0.499481006553022,0.787861535061608,-0.0121384649383923,0.121014807120461,NA
0.8,2,20,"Conger","moss_fisher","Moss 2024 transform",120,120,0.766666666666667,0.0583333333333333,0.175,0.560618403307366,0.589138420230682,0.787861535061608,-0.0121384649383923,0.121014807120461,NA
0.8,2,40,"Conger","boot_basic","nonparametric bootstrap",120,120,0.833333333333333,0.00833333333333333,0.158333333333333,0.368993616224657,0.365794595195096,0.795714184277172,-0.00428581572282805,0.0965255250916958,149
0.8,2,40,"Conger","boot_bca","Efron 1987 BCa",120,120,0.9,0.00833333333333333,0.0916666666666667,0.401652588335784,0.416800643178546,0.795714184277172,-0.00428581572282805,0.0965255250916958,149
0.8,2,40,"Conger","boot_percentile","nonparametric bootstrap",120,120,0.875,0.00833333333333333,0.116666666666667,0.368993616224657,0.365794595195096,0.795714184277172,-0.00428581572282805,0.0965255250916958,149
0.8,2,40,"Conger","boot_t","Efron 1987 bootstrap-t",120,119,0.949579831932773,0.00840336134453781,0.0420168067226891,0.875103337952353,0.72992780542934,0.795714184277172,-0.00428581572282805,0.0965255250916958,149
