"mechanism","label","p_truth","skill","guess","observe_prob_rater","observe_prob_value"
"m1_rater_mcar","M1: heterogeneous raters, rater MCAR","0.2 0.3 0.3 0.2","0.96 0.91 0.84 0.73 0.62","0.06 0.16 0.31 0.47 | 0.11 0.23 0.33 0.33 | 0.2 0.3 0.3 0.2 | 0.32 0.32 0.22 0.14 | 0.48 0.29 0.16 0.07","0.95 0.83 0.64 0.39 0.24","NA NA NA NA"
"m2_value_dropout","M2: value-dependent dropout","0.2 0.3 0.3 0.2","0.86 0.86 0.86 0.86 0.86","0.2 0.2 0.2 0.2 | 0.2 0.3 0.3 0.3 | 0.3 0.3 0.3 0.3 | 0.3 0.3 0.3 0.2 | 0.2 0.2 0.2 0.2","NA NA NA NA NA","0.35 0.55 0.75 0.92"
