"mechanism","replicate","n","estimator","coefficient","estimate","truth","bias","observed_fraction","mean_observed_raters","zero_observed_fraction","error"
"m1_rater_mcar",8,500,"raw_fiml","Brennan-Prediger",0.648996423855604,0.656030112,-0.00703368814439598,0.6164,3.082,0.002,""
"m1_rater_mcar",8,500,"raw_ipw","Fleiss",0.659103662433751,0.652494739899285,0.00660892253446588,0.6164,3.082,0.002,""
"m1_rater_mcar",8,500,"raw_ipw","Brennan-Prediger",0.66244897483514,0.656030112,0.00641886283514004,0.6164,3.082,0.002,""
"m1_rater_mcar",9,500,"counts_fiml","Fleiss",0.767779252730321,0.652494739899285,0.115284512831036,0.6112,3.056,0,""
"m1_rater_mcar",9,500,"counts_fiml","Brennan-Prediger",0.769747911750733,0.656030112,0.113717799750733,0.6112,3.056,0,""
"m1_rater_mcar",9,500,"raw_fiml","Fleiss",0.681899230930271,0.652494739899285,0.0294044910309859,0.6112,3.056,0,""
"m1_rater_mcar",9,500,"raw_fiml","Brennan-Prediger",0.684797316668641,0.656030112,0.0287672046686411,0.6112,3.056,0,""
"m1_rater_mcar",9,500,"raw_ipw","Fleiss",0.674243471446013,0.652494739899285,0.0217487315467286,0.6112,3.056,0,""
"m1_rater_mcar",9,500,"raw_ipw","Brennan-Prediger",0.678443673598123,0.656030112,0.0224135615981227,0.6112,3.056,0,""
"m1_rater_mcar",10,500,"counts_fiml","Fleiss",0.754673606496843,0.652494739899285,0.102178866597558,0.6148,3.074,0.002,""
"m1_rater_mcar",10,500,"counts_fiml","Brennan-Prediger",0.761876902979751,0.656030112,0.10584679097975,0.6148,3.074,0.002,""
"m1_rater_mcar",10,500,"raw_fiml","Fleiss",0.663163477442283,0.652494739899285,0.0106687375429977,0.6148,3.074,0.002,""
"m1_rater_mcar",10,500,"raw_fiml","Brennan-Prediger",0.672197176127459,0.656030112,0.0161670641274592,0.6148,3.074,0.002,""
"m1_rater_mcar",10,500,"raw_ipw","Fleiss",0.691131133538699,0.652494739899285,0.0386363936394143,0.6148,3.074,0.002,""
"m1_rater_mcar",10,500,"raw_ipw","Brennan-Prediger",0.700058999837389,0.656030112,0.0440288878373887,0.6148,3.074,0.002,""
"m1_rater_mcar",11,500,"counts_fiml","Fleiss",0.744271510855405,0.652494739899285,0.0917767709561201,0.6132,3.066,0,""
"m1_rater_mcar",11,500,"counts_fiml","Brennan-Prediger",0.746394006621675,0.656030112,0.0903638946216752,0.6132,3.066,0,""
"m1_rater_mcar",11,500,"raw_fiml","Fleiss",0.647605704403077,0.652494739899285,-0.00488903549620745,0.6132,3.066,0,""
"m1_rater_mcar",11,500,"raw_fiml","Brennan-Prediger",0.649906305257364,0.656030112,-0.00612380674263591,0.6132,3.066,0,""
"m1_rater_mcar",11,500,"raw_ipw","Fleiss",0.647727051090767,0.652494739899285,-0.00476768880851752,0.6132,3.066,0,""
"m1_rater_mcar",11,500,"raw_ipw","Brennan-Prediger",0.650977470694884,0.656030112,-0.0050526413051164,0.6132,3.066,0,""
"m1_rater_mcar",12,500,"counts_fiml","Fleiss",0.755336691725842,0.652494739899285,0.102841951826557,0.6004,3.002,0.006,""
"m1_rater_mcar",12,500,"counts_fiml","Brennan-Prediger",0.759372817557181,0.656030112,0.103342705557181,0.6004,3.002,0.006,""
"m1_rater_mcar",12,500,"raw_fiml","Fleiss",0.672044170008355,0.652494739899285,0.0195494301090702,0.6004,3.002,0.006,""
"m1_rater_mcar",12,500,"raw_fiml","Brennan-Prediger",0.676513150001227,0.656030112,0.0204830380012266,0.6004,3.002,0.006,""
"m1_rater_mcar",12,500,"raw_ipw","Fleiss",0.665169431406256,0.652494739899285,0.0126746915069706,0.6004,3.002,0.006,""
