"mechanism","category","full_share","observed_share","shift"
"m1_rater_mcar",1,0.221706666666667,0.205496553663344,-0.0162101130033224
"m1_rater_mcar",2,0.299053333333333,0.296329929980141,-0.00272340335319275
"m1_rater_mcar",3,0.2882,0.297679133338037,0.00947913333803671
"m1_rater_mcar",4,0.19104,0.200494383018478,0.00945438301847845
"m2_value_dropout",1,0.209893333333333,0.114112518305258,-0.0957808150280751
"m2_value_dropout",2,0.29228,0.251180681980867,-0.0410993180191334
"m2_value_dropout",3,0.28992,0.338520570308594,0.0486005703085938
"m2_value_dropout",4,0.207906666666667,0.296186229405281,0.0882795627386148
